	day30_rep1_gfp_oe	day30_rep1_control	day30_rep1_epi	day30_rep2_gfp_oe	day30_rep1_hey2	day30_rep2_hey2_ge	day30_rep2_hey2	day30_rep1_hey2_ge	day30_rep2_hey2_oe	day30_rep1_hey2_oe	day30_rep1_tbx5	day30_rep3_tbx5_ge	day30_rep2_tbx5	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe	day30_rep1_nr2f_ge	day30_rep2_nr2f_ge	day30_rep1_nr2f	day30_rep2_nr2f	day30_rep3_nr2f_ge	day30_rep4_nr2f_ge	day30_rep1_nr2f_oe
PLEKHO2	535	449	769	866	583	408	564	325	1234	399	618	1651	731	678	989	408	955	425	549	355	720	652	409	512
ANKDD1A	85	43	213	97	134	84	136	88	142	63	158	161	171	89	108	82	153	123	96	87	125	242	102	111
SPG21	1615	1113	2148	1941	2310	1114	2110	1310	1997	1658	1833	1426	2573	1647	1455	1676	2102	1406	1530	1611	2289	1503	950	1566
MTFMT	469	212	502	485	564	390	468	357	524	494	357	413	388	259	373	497	531	212	293	421	495	430	249	440
SLC51B	5	1	0	0	0	0	0	0	0	4	2	0	3	0	2	2	0	0	0	0	0	0	9	3
RASL12	171	211	94	78	116	39	175	68	57	230	72	16	344	113	186	220	104	63	32	46	224	139	184	120
KBTBD13	16	96	65	37	104	17	209	73	33	18	50	2	198	71	10	28	33	31	11	30	80	41	35	9
UBAP1L	143	118	257	104	142	66	255	53	118	100	135	228	128	28	66	106	133	80	74	89	100	56	82	153
PDCD7	1943	682	1433	1241	1070	792	1146	719	1539	1216	735	1188	988	568	814	1260	1329	1040	821	803	1006	824	821	1423
CLPX	2503	883	2411	2630	2317	1328	1886	1503	2924	2358	1725	3487	1593	1136	1294	2680	2728	547	1087	2072	1928	1366	974	2594
LOC124903509	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0
CILP	63	1103	773	140	287	111	750	67	113	55	1489	227	1462	6946	957	80	176	371	340	92	256	587	484	77
PARP16	268	300	559	310	394	212	611	252	325	289	339	348	410	287	168	285	389	378	367	300	377	246	477	296
SNORA24B	2	0	0	1	3	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	2	1
RNU5A-1	1	0	1	3	4	4	1	1	19	1	0	2	0	0	2	0	1	1	0	1	1	0	1	3
RNU5B-1	0	0	0	0	0	1	0	0	3	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0
IGDCC3	741	81	1436	74	379	946	629	641	47	536	1026	756	492	559	3774	731	71	5806	845	259	657	707	918	1097
IGDCC4	383	2173	5813	1284	2963	1199	3956	1983	943	354	7482	1068	6865	5169	1489	378	1713	1144	4624	1657	4507	2065	1799	444
LOC124903510	5	7	51	16	30	44	33	28	12	9	78	14	72	38	33	9	25	17	33	24	62	25	4	22
DPP8	1589	623	1650	2074	1515	1072	1213	1020	2319	1780	1667	1885	1439	938	1416	1752	2408	262	1106	1613	1337	1053	508	1958
HACD3	2450	771	3671	2426	4090	2492	3556	2249	2290	2421	3503	4550	3458	2159	3735	2666	2870	1123	2718	2319	2690	3296	1180	3552
LOC124903602	3	6	1	1	1	1	2	1	2	0	2	3	3	1	1	2	4	0	0	2	1	2	0	3
INTS14	1023	367	1168	898	875	609	888	701	978	932	848	1854	930	656	836	1061	1104	413	683	678	708	761	281	923
SLC24A1	82	73	458	152	201	110	238	125	150	102	472	234	278	305	231	73	232	121	339	116	229	208	138	118
LOC102723464	0	0	0	0	0	2	0	1	6	1	1	8	0	1	1	2	0	0	0	0	1	0	0	6
DENND4A	691	340	671	1016	417	246	341	201	1180	971	490	566	345	370	291	1074	1170	38	338	508	390	212	142	1132
SNORD13E	0	0	3	0	0	1	0	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0
MIR4511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370866	1	0	3	1	0	1	1	0	1	0	0	5	1	0	0	3	0	0	0	0	0	1	7	2
TRQ-CTG1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
RAB11A	3942	1523	3871	3538	4007	2642	3599	2331	3938	4060	3121	4225	3543	2150	3297	4130	3890	1542	2126	3447	2993	2801	1973	4091
MEGF11	74	80	368	77	47	13	90	21	59	78	31	23	43	115	18	70	103	1	41	61	15	17	15	117
LOC105370867	2	0	0	1	0	0	0	0	2	4	0	0	0	0	0	4	0	0	0	1	0	0	0	5
MIR4311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIS3L-AS1	6	0	4	3	8	5	8	0	0	2	2	4	3	1	1	0	3	0	2	3	7	3	0	2
DIS3L	1677	867	1789	1713	1784	1303	1809	1129	1926	1896	1104	449	1296	797	765	2023	1745	644	801	1493	1414	1074	760	1711
TIPIN	292	39	245	160	181	153	168	133	217	300	153	256	144	85	170	278	218	58	88	220	111	148	52	338
SCARNA14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAP2K1	1991	1292	1889	1727	1570	1681	1985	1473	2418	1606	1187	3962	1667	1014	1833	1707	1891	555	1013	1677	1586	1537	1434	1806
SNAPC5	898	292	574	740	689	692	597	763	966	871	442	723	564	397	322	884	788	321	328	701	604	581	241	779
MIR4512	2	1	2	4	2	3	0	1	1	3	1	1	4	5	4	2	0	5	2	4	7	2	0	1
RPL4	38794	21351	57014	40257	44055	20436	49558	23630	42549	34462	40932	32513	52646	34400	25684	35440	42720	32806	31007	21205	41921	25289	16540	31938
SNORD18C	6	4	1	7	0	6	2	1	4	7	2	10	0	3	6	9	12	7	1	0	3	2	4	7
SNORD18B	2	3	2	1	2	2	2	3	2	0	0	4	3	0	2	6	3	0	0	2	2	2	0	5
SNORD16	1	0	4	1	3	2	2	2	0	3	2	6	3	1	2	1	3	0	1	1	3	2	0	3
SNORD18A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ZWILCH	599	103	690	463	615	425	468	298	526	660	479	626	414	250	838	694	560	166	298	309	329	442	189	854
LCTL	16	7	58	30	4	4	6	5	27	4	27	14	6	3	25	8	47	1	27	24	37	4	4	17
LINC01169	2	0	6	3	4	7	2	6	1	2	1	10	8	0	7	3	1	0	0	0	5	1	0	0
SMAD6	1327	1683	6343	1388	9668	3157	11375	5750	1688	1587	6038	537	13805	3238	4671	1781	1603	3955	3678	2021	5083	5385	7102	1169
LOC105370869	2	1	4	7	5	2	7	4	4	3	4	1	8	4	7	1	1	1	0	3	6	1	0	3
LOC105376718	45	32	115	44	127	87	100	75	54	52	100	42	197	57	95	52	59	24	36	63	98	49	30	32
SMASR	1	1	0	1	0	2	0	0	0	1	0	3	4	1	2	1	1	0	1	0	0	0	0	0
SMAD3-DT	1	0	3	2	8	1	4	4	4	7	13	1	4	6	7	1	6	17	2	0	5	3	5	2
SMAD3	2260	2129	5245	3057	3556	1592	3418	1936	3158	1934	4780	4129	5617	3786	5410	2146	3878	1431	3833	2555	3950	2770	1903	2425
AAGAB	1817	393	1343	1618	1259	1088	772	941	1957	1649	1254	1985	1127	784	1348	1728	1785	416	933	1207	1093	1047	369	1763
IQCH	58	16	59	42	16	35	21	21	49	77	34	19	45	11	23	73	53	1	15	38	45	20	20	42
IQCH-AS1	53	26	89	126	101	63	106	42	91	50	68	77	85	55	50	72	110	28	61	52	70	47	27	56
LOC124903511	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	2	1	0	0
C15orf61	58	57	67	58	56	62	67	67	66	42	70	50	72	62	39	45	60	78	115	39	77	76	57	37
MAP2K5	477	392	851	425	500	338	707	304	499	441	521	385	850	412	251	546	453	752	414	341	633	333	423	475
LOC124903512	4	0	7	3	1	6	1	2	1	0	4	3	0	0	3	3	4	1	0	2	0	0	2	1
LOC124903570	2	5	4	4	1	0	3	1	1	0	0	5	2	2	1	0	1	0	20	0	2	1	2	7
SKOR1	18	47	41	14	19	9	48	33	9	9	14	14	52	10	6	17	6	21	276	6	12	16	24	16
LOC105370870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKOR1-AS1	0	0	7	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1
RNU6-1	5	1	0	3	0	0	0	1	7	1	0	2	0	1	1	6	6	0	1	0	0	5	3	2
PIAS1	2542	848	1848	2571	1617	827	1242	1014	3059	2739	1595	1679	1408	1024	848	3297	2569	238	864	1662	1524	989	549	2613
LOC105370871	62	37	105	85	106	41	66	48	71	83	90	62	91	50	51	79	91	8	46	90	53	60	42	67
CALML4	55	35	185	53	44	51	59	26	72	50	102	83	87	39	149	66	80	49	49	54	51	37	18	93
CLN6	723	530	1281	707	1068	724	773	684	894	696	957	425	1076	551	1025	780	759	516	661	885	993	756	296	850
FEM1B	6562	1668	3582	6148	3892	2917	2873	2377	6792	5315	2743	4712	3380	1471	2134	6193	6142	513	1621	4038	2510	2325	1268	7686
ITGA11	294	4783	6188	3574	9131	426	6874	726	2679	133	13344	359	23373	9389	2624	168	5381	1019	10235	708	9024	1912	1052	553
LOC124903513	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC105370873	3	0	1	0	0	7	0	3	0	1	3	8	0	0	0	0	0	1	0	0	0	0	0	3
CORO2B	498	628	680	336	1040	253	1265	428	385	521	585	170	1295	477	248	584	377	163	374	565	627	313	300	606
LOC124903514	13	2	5	1	5	3	3	3	2	7	12	2	8	2	1	4	4	0	0	5	6	5	3	8
ANP32A	7406	2158	6934	5127	5816	4198	5978	4180	5480	6566	3751	2502	5980	2552	4083	7229	5633	2642	2302	4829	4833	4670	2276	6163
MIR4312	4	0	5	0	0	0	1	1	1	2	3	0	2	0	1	3	1	0	3	1	0	0	0	1
ANP32A-IT1	10	5	41	17	20	14	37	17	14	25	22	3	39	4	16	11	13	7	12	17	17	11	6	23
NOX5	2	9	33	5	5	6	4	4	2	3	11	4	5	1	4	2	18	10	10	3	29	4	3	2
SPESP1	2	1	2	0	0	0	0	0	1	0	0	6	1	0	2	2	3	2	0	2	0	0	1	2
LOC124903515	0	0	1	0	1	1	1	0	0	2	0	0	0	0	0	1	1	3	1	0	2	1	0	4
EWSAT1	0	1	2	6	1	0	5	0	0	0	10	1	3	0	2	0	0	6	3	2	7	0	1	3
LOC124903516	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GLCE	446	356	878	657	519	298	361	304	759	640	847	491	525	247	552	705	790	75	341	872	607	288	132	585
PAQR5-DT	1	1	7	0	0	0	0	1	1	3	0	2	0	0	0	1	3	1	1	1	1	1	0	1
PAQR5	30	14	111	58	64	50	29	17	92	29	66	39	89	53	96	45	67	1	52	63	63	27	24	52
LOC124900368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF23-AS1	84	48	80	92	100	85	49	66	158	75	140	66	138	74	148	35	112	6	105	119	129	82	12	65
KIF23	1315	273	1255	1158	1140	697	556	641	1517	1314	594	400	578	250	1373	1463	1235	373	456	834	568	1033	538	1624
RPLP1	32717	18286	26841	25088	23334	19746	30339	19931	28567	25457	20792	18322	35789	24510	18354	25205	25519	32798	20934	15481	25497	22586	12258	19027
LINC02896	11	20	20	20	20	25	49	21	18	14	9	5	24	15	8	11	15	26	1	16	10	13	9	6
LOC124903594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRAIC	7	2	2	3	4	1	13	1	4	4	11	3	10	5	2	7	6	0	3	0	3	5	8	5
LOC124903517	1	0	2	0	0	8	3	0	1	2	1	2	1	0	1	1	0	0	1	0	2	0	1	1
PCAT29	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
LOC107984788	0	0	5	1	0	3	0	0	1	2	1	7	1	0	0	0	4	0	0	1	0	1	2	0
LINC00593	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC101929129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC124903518	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	4
TLE3	1102	814	4569	1408	1836	998	2100	1055	1280	716	5182	2818	3924	2464	3387	942	1780	2274	2645	1096	1385	1168	825	1428
MIR629	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984734	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
LOC105370878	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
LOC124903519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC02205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984781	0	0	3	0	0	2	3	1	0	1	1	8	0	0	2	1	0	1	0	0	1	0	0	1
LINC02204	1	0	9	2	2	0	0	2	2	0	4	1	1	0	7	0	2	0	1	4	1	0	0	3
SALRNA3	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107984791	5	1	16	9	4	5	3	2	7	6	33	11	15	5	30	7	11	2	10	9	10	1	2	16
SALRNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UACA	4000	1730	4607	7146	2573	1062	1619	910	7365	4609	5194	660	3306	1719	5121	4425	7891	639	4912	3673	6572	1516	1234	9263
LARP6	2125	1994	2435	2569	1602	793	1571	1235	2931	1767	1675	3119	2370	1671	1239	1919	2746	1078	1532	1739	2138	947	790	1421
LRRC49	4744	778	1017	3552	317	160	240	152	3871	4864	468	281	457	309	205	5339	3143	157	220	1928	1504	342	176	3476
THAP10	235	58	179	173	179	139	186	110	209	223	79	139	96	53	91	235	180	34	67	123	127	125	102	281
LOC105370886	7	0	4	3	1	0	0	0	7	12	1	5	1	0	0	16	8	0	1	4	1	2	0	21
THSD4	1440	3601	6211	2421	416	254	1383	222	2881	2474	1041	52	793	509	481	3155	3365	55	1159	2317	2040	274	410	2285
CT62	2	0	10	6	0	0	1	1	10	10	1	1	0	0	1	11	10	4	1	7	8	1	0	9
THSD4-AS1	1	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	1	0	0	2
LOC105370884	0	0	8	3	0	7	0	0	1	4	0	9	0	0	3	6	0	0	1	3	1	0	0	1
LOC124903521	7	1	10	4	1	0	3	0	2	9	1	7	5	1	3	14	2	2	1	3	7	1	3	4
LOC124903520	10	6	11	3	2	6	5	2	4	10	4	4	2	0	10	10	5	0	0	8	2	0	0	4
LOC107984716	3	12	4	4	0	3	1	8	4	5	0	10	1	4	4	1	6	4	0	3	0	1	0	5
THSD4-AS2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1
NR2E3	8	15	38	7	2	5	11	4	4	6	3	7	7	3	4	9	5	0	9	6	1	0	2	4
MYO9A	1006	588	1957	1425	1455	967	1442	755	1518	1252	1213	722	1212	668	1078	1423	1830	249	755	1247	887	638	628	1557
LOC107984713	14	4	28	8	4	8	12	2	10	13	11	15	11	8	8	15	22	5	5	7	6	2	4	14
LOC107984714	5	0	10	3	3	12	1	1	2	5	1	8	0	0	1	2	4	1	1	2	2	0	0	3
SENP8	216	59	190	189	243	148	172	139	227	301	128	44	138	52	52	301	217	44	86	161	156	113	57	255
LOC124903522	4	8	8	6	0	5	6	0	12	6	0	7	4	4	3	2	12	0	3	2	0	2	1	7
GRAMD2A	6	9	82	11	31	9	29	7	14	8	88	17	56	77	6	12	25	39	49	9	22	6	2	11
PKM	29478	33516	57731	25707	39038	25841	75020	24687	33382	23658	26216	14900	43569	19615	30343	25957	27988	23345	16922	28715	29729	28245	47588	25673
PARP6	1353	815	1442	989	1074	719	1346	720	1278	1139	1030	1667	1315	956	864	1391	1126	634	880	995	1247	779	622	1728
LOC105370887	1	0	1	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	1	0
CELF6	94	138	231	77	74	34	219	51	62	81	59	95	100	51	21	113	80	46	70	93	97	55	69	130
HEXA	1777	1993	3194	2908	2523	1376	3041	2074	3025	1832	3315	3133	3946	2680	1486	1953	3372	2274	3301	2340	3647	2181	1333	1582
HEXA-AS1	6	2	11	9	8	11	5	6	1	5	19	11	9	4	4	4	8	1	16	9	13	6	2	14
TMEM202	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2
TMEM202-AS1	11	5	13	15	7	12	11	5	22	9	15	32	19	14	5	13	14	0	9	15	3	11	0	13
ARIH1	3369	1487	3882	3815	3110	1864	2936	1904	4096	3573	3265	5231	3299	1773	2375	3692	4289	829	2054	2998	3306	2084	1700	4167
MIR630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02259	2	0	6	2	0	1	3	2	3	2	0	7	1	4	2	3	4	0	0	3	1	0	0	1
LOC112268145	2	0	11	6	3	2	6	2	2	3	1	12	5	0	1	2	3	1	0	3	6	0	8	7
GOLGA6B	6	1	7	9	1	10	13	5	8	10	2	19	4	0	5	10	4	0	1	5	6	1	5	10
HIGD2B	3	0	2	1	2	7	0	0	2	1	2	10	0	0	3	3	0	0	1	0	1	0	0	2
BBS4	1131	570	1333	1252	943	546	969	749	1442	1453	853	750	946	555	402	1298	1385	437	664	888	883	664	402	1257
ADPGK	505	369	1491	674	932	640	936	649	680	511	1380	1380	1430	1319	1584	524	877	449	1128	709	898	675	339	686
ADPGK-AS1	9	9	9	7	8	3	7	4	17	11	7	7	6	7	4	5	5	0	1	9	10	5	2	13
LOC107984801	4	0	1	0	1	0	0	0	0	1	1	1	2	0	0	3	0	1	1	0	0	0	0	3
NEO1	1418	1291	6594	2054	4866	1522	5603	2618	2037	1578	7651	2513	8836	8145	2772	1939	2855	1374	5843	2627	2442	2196	1650	2679
MIR12135	0	0	1	0	3	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2
HCN4	2253	3838	8277	3077	20344	7362	43102	10175	4122	3262	5303	776	11504	1688	1788	3639	4464	681	1381	6940	5092	4222	8288	2326
LOC105370890	5	0	9	9	27	14	39	8	3	4	10	1	13	4	2	5	6	0	3	21	8	3	2	3
LOC124903571	12	23	20	28	33	5	61	7	18	19	30	0	46	19	6	20	28	16	4	10	3	4	13	10
REC114	23	9	31	17	40	22	101	15	15	16	20	1	46	15	6	27	21	20	4	6	12	15	19	7
NPTN	5051	2939	6505	6184	9773	6618	10964	5519	6461	5191	6578	3595	9417	4449	6478	5854	6688	1871	3623	5439	4994	5623	3983	4930
NPTN-IT1	429	628	893	916	1415	989	1844	762	737	595	549	215	945	388	216	727	902	24	165	809	591	401	339	619
LOC105370891	1	1	0	3	6	3	2	0	2	1	2	2	0	3	1	3	2	0	1	0	0	1	0	5
CD276	1525	2869	6250	2165	5959	3088	6184	3197	2250	1544	6333	3728	8476	4279	5603	1637	2941	3039	5485	3008	4773	5606	3448	1655
INSYN1	417	499	728	367	1321	336	3248	561	499	347	658	320	1704	622	238	445	469	273	564	300	421	475	311	367
INSYN1-AS1	8	3	16	2	5	3	23	3	6	7	3	1	4	1	2	8	0	1	5	4	3	3	4	8
LOC105370892	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC102723657	2	0	2	1	0	2	0	6	0	1	0	6	0	0	0	3	0	0	0	1	2	0	0	0
TBC1D21	1	0	10	2	1	0	5	2	0	1	2	2	2	5	15	0	2	1	2	0	3	3	0	1
LOXL1-AS1	104	66	307	98	193	79	149	62	73	102	211	76	274	253	380	127	130	170	189	33	146	105	78	115
LOXL1	1182	5326	11146	2128	6640	815	7017	1613	1833	1078	9989	592	12646	7293	6468	1151	2760	7977	10697	1142	8976	3883	2605	907
STOML1	603	441	844	626	641	487	876	546	795	414	641	532	890	525	510	411	708	633	748	521	660	518	270	558
PML	569	1457	1779	1180	842	428	1215	453	1283	521	1240	699	1507	1023	786	537	1435	1391	1069	590	1244	747	831	569
GOLGA6A	5	1	5	1	2	2	2	1	4	5	3	13	1	0	1	3	7	1	0	3	2	0	3	3
LOC107987224	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COMMD4P2	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ISLR2	51	69	56	23	66	29	118	17	11	97	55	18	145	35	43	88	30	61	59	7	23	72	49	239
LOC283731	6	0	2	1	3	1	2	1	3	14	0	0	2	0	3	14	5	0	1	1	5	13	3	39
LOC124903523	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0	0	1	0	0
ISLR	147	2478	3702	935	679	185	1853	171	495	52	3721	293	4637	2823	822	68	1224	6353	2641	95	1402	781	336	110
STRA6	261	1099	2818	560	1496	819	2076	497	494	223	3518	147	5015	1471	807	256	732	2690	942	599	752	999	1353	200
CCDC33	7	8	54	9	4	9	17	15	4	10	20	5	15	5	14	8	15	36	21	10	7	12	35	13
LOC105370893	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC124903525	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2
CYP11A1	42	16	45	13	2	30	17	37	24	27	1	64	9	20	24	33	21	63	10	35	14	37	61	21
PPIAP46	3	0	2	0	0	0	0	0	0	1	0	4	1	0	1	0	1	0	0	0	0	2	0	0
LOC124903524	6	12	17	11	3	20	7	7	4	11	6	7	10	5	6	6	5	1	9	3	8	13	28	8
LINC02255	4	0	13	0	0	1	0	2	0	5	4	3	2	1	2	6	0	0	2	0	5	0	0	0
SEMA7A	247	503	730	192	523	206	1000	196	187	239	1004	216	1615	693	1282	309	310	373	631	137	422	312	621	259
MIR6881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBL7	1171	990	1512	873	1636	848	1892	1210	1187	1152	1084	1153	1629	889	663	1166	972	1236	889	1027	1575	1255	848	983
UBL7-DT	67	45	130	53	98	62	127	81	52	65	63	58	100	51	76	82	52	55	63	50	49	62	40	78
LOC124900366	1	0	0	2	0	1	0	1	0	2	1	0	1	0	0	0	0	8	0	0	0	0	0	2
LOC124903526	0	0	2	1	1	1	0	0	1	1	2	1	0	0	2	0	1	0	0	0	0	0	2	0
LOC102723714	0	0	5	0	1	2	1	3	0	2	3	1	1	0	2	3	5	0	1	1	1	0	0	2
LOC124903528	0	0	4	0	1	0	2	0	0	1	1	2	1	0	0	0	1	0	0	1	1	1	0	2
ARID3B	490	342	648	208	477	803	447	866	290	483	606	2890	456	281	2041	554	240	154	398	640	567	734	713	664
LOC124903527	18	10	31	12	20	17	16	14	8	21	14	48	28	7	22	29	13	0	6	9	13	10	4	30
LOC102723750	124	180	445	176	428	304	712	302	199	207	248	95	368	205	57	196	202	37	133	164	227	243	384	136
CLK3	1492	644	1576	1276	1531	832	1590	1215	1639	1214	1191	3382	1487	841	1242	1236	1411	1220	829	1237	1398	960	1010	1327
EDC3	1392	862	2039	1390	1663	1109	1621	1048	1683	1478	1699	2487	2024	967	1526	1523	1619	632	1084	1338	1730	1347	626	1781
CYP1A1	9	3	3	14	8	3	4	7	29	34	195	37	101	15	28	8	20	22	18	16	71	7	5	11
CYP1A2	0	0	4	0	0	2	1	2	3	2	7	1	3	1	2	1	4	0	1	1	7	0	0	2
CSK	1690	1621	2591	1491	2363	1602	2864	1821	1752	1637	1513	2136	3122	1035	1624	1666	1683	1914	1376	1833	2414	2143	1784	1390
MIR4513	1	0	0	0	0	0	2	1	0	0	2	2	1	0	0	1	2	0	0	0	0	0	3	0
LMAN1L	2	0	5	3	6	0	12	0	7	1	4	2	8	7	1	4	10	0	1	2	3	2	0	3
CPLX3	9	0	1	3	2	1	17	1	9	4	1	0	7	3	0	4	10	0	2	0	1	2	1	9
LOC105370897	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
ULK3	1213	1164	1849	1268	1475	1020	2081	1290	1429	1166	1056	1867	2101	881	658	1313	1466	800	885	1418	1795	1404	738	1109
MIR6882	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAMP2	1934	1623	2370	1650	2216	1458	1985	1713	2089	1696	2376	4493	2852	1825	2248	1637	1950	1459	2154	1956	2278	1925	1158	1538
MPI	741	823	1422	694	1231	636	1824	991	919	752	918	342	1186	578	490	705	778	657	606	903	1118	834	1347	656
FAM219B	580	770	1008	706	903	607	1085	652	822	643	582	315	933	529	487	714	792	215	576	800	908	772	673	609
COX5A	6901	4021	4078	6158	6851	5533	6576	5579	7731	5528	3124	2868	5736	2027	2133	5572	5833	4780	2056	4358	5694	4676	4503	4161
RPP25	142	463	937	411	1248	891	1436	819	273	116	989	1091	1208	1458	1338	166	561	2084	765	462	718	1189	670	141
SCAMP5	609	331	717	473	1270	582	1613	1023	562	670	1831	1258	2161	1066	741	719	579	359	824	567	1024	839	796	988
PPCDC	242	117	244	172	241	223	239	315	220	202	267	308	359	196	238	198	184	206	199	296	194	329	145	198
LOC124903529	1	0	5	0	0	2	1	1	0	0	3	2	0	0	1	1	0	1	0	0	0	4	0	0
LOC124900369	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903530	3	2	4	2	2	2	1	1	0	1	2	9	2	4	2	3	0	4	2	4	0	1	1	3
LOC107984772	1	0	6	1	5	6	3	3	1	1	7	1	2	2	0	2	2	0	1	1	2	2	0	2
C15orf39	1156	2611	3816	1264	2692	1914	3185	2395	1508	1815	2618	1254	2696	1749	2054	2123	1725	2326	2172	1654	1941	2684	3034	994
LOC105376731	0	0	1	0	2	3	2	0	0	1	0	1	6	0	1	1	0	1	0	1	6	0	0	1
GOLGA6C	4	1	3	2	0	6	1	4	4	5	2	15	2	0	2	5	3	0	0	5	3	0	0	5
GOLGA6D	0	0	5	1	0	2	0	2	0	1	0	6	0	0	3	1	0	0	1	8	2	1	1	1
COMMD4	1637	830	1756	1020	1664	1028	1824	1500	1251	1244	1027	1537	1531	972	1126	1271	1108	1943	1131	1084	1511	1707	593	1099
NEIL1	199	243	548	181	496	263	1108	366	261	165	300	216	540	214	141	216	256	292	192	277	406	336	251	207
MIR631	5	5	17	6	9	7	28	6	7	6	6	1	8	4	3	7	5	0	5	5	3	5	9	5
MAN2C1	1365	2142	2989	1676	2626	1379	3251	1831	2202	1451	2065	1113	3270	1528	1225	1715	1950	761	1705	2115	2592	1979	1523	1588
SIN3A	1265	1046	2666	1464	1974	1161	1954	1206	1608	1511	1625	1856	1844	1027	1568	1622	1843	736	1229	1401	1461	1350	1263	2054
PTPN9	1072	747	2224	1062	1812	1375	1996	1416	1137	954	1394	2267	2052	1167	1882	950	1280	847	1389	1228	1207	1869	1046	1109
LOC105370902	5	0	1	1	3	2	2	1	0	0	5	2	1	3	2	2	3	1	2	1	2	0	0	1
SNUPN	358	244	660	429	505	353	568	379	523	325	507	522	608	542	479	374	549	449	482	338	493	455	200	374
IMP3	1191	513	1125	764	1137	683	1092	751	978	837	1099	1017	1039	792	936	908	824	567	957	667	963	826	490	850
SNX33	430	691	2046	923	1379	808	2030	954	922	454	1792	1925	2069	1442	1416	496	1189	564	1352	770	1435	1302	965	453
