	day0_rep1	day0_rep2	day2_rep1	day2_rep2	day5_rep1	day5_rep2	day14_rep1	day14_rep2	fetal_rep1	fetal_rep2
LOC105372652	6	4	0	0	3	2	0	0	0	2
SLC9A8	385	544	490	505	814	571	660	906	589	658
MIR12122	3	7	1	2	5	2	1	0	6	8
SPATA2	599	754	374	428	683	568	445	490	457	408
LOC105372653	1	0	2	2	5	2	1	1	0	4
RNF114	2505	3348	1745	2426	2398	1835	1472	2058	1544	1417
LOC124904976	7	8	5	2	4	3	1	0	3	11
SNAI1	360	235	3562	5145	881	499	46	68	59	90
LOC105372654	0	0	0	0	0	0	0	0	0	0
TRERNA1	0	0	0	1	3	3	0	1	0	0
LOC105372655	0	1	0	0	0	0	0	0	0	0
PEDS1-UBE2V1	0	0	0	0	0	0	0	0	0	0
UBE2V1	167	130	109	135	231	255	63	68	217	324
PEDS1	1398	1424	900	1120	1130	860	995	929	973	875
LOC124904927	1	0	0	0	1	1	1	0	1	1
LINC01275	22	9	9	6	5	12	10	19	4	3
LINC01273	19	15	7	13	16	18	4	7	12	14
CEBPB-AS1	17	16	30	21	31	22	48	125	32	44
CEBPB	323	405	195	209	135	75	196	339	118	111
LOC107985386	0	0	0	0	0	0	0	0	0	0
LOC105372656	0	1	0	1	0	0	0	0	0	0
PELATON	0	1	0	0	0	1	0	0	0	3
LINC01270	3	11	11	21	30	24	1	7	16	6
LINC01271	5	8	6	9	14	11	0	1	3	8
LOC105372657	0	0	0	1	0	0	0	0	0	0
LOC124904928	0	0	0	0	0	1	0	0	0	0
PTPN1	1910	2547	1558	1985	2811	1994	2541	3098	1528	1306
MIR645	4	2	1	1	4	6	1	0	3	8
RIPOR3	103	92	75	93	244	160	52	16	194	635
MIR1302-5	0	0	0	0	0	0	0	0	0	0
RIPOR3-AS1	4	3	5	2	1	0	1	0	0	2
LOC105372659	0	1	2	1	0	2	0	0	0	7
PARD6B	1942	1807	1401	1647	2246	1736	1292	1725	536	433
BCAS4	641	637	538	684	891	761	596	802	172	269
LOC124904929	34	25	25	15	47	42	9	19	24	34
ADNP	4851	3628	4081	4297	9172	7961	3978	4019	6732	7970
ADNP-AS1	31	34	22	25	42	26	19	25	27	54
DPM1	1424	1875	1150	1434	1419	1130	817	1028	731	723
MOCS3	419	641	419	526	692	469	559	642	390	293
KCNG1	1156	1542	2109	2138	2235	1449	2155	722	46	50
LOC105372661	1	1	0	1	0	2	2	0	1	1
LOC105372662	0	0	0	0	0	0	0	0	0	0
LOC124904930	0	0	0	0	0	0	0	1	1	4
LOC105372663	7	11	5	3	0	0	2	2	5	10
NFATC2	66	36	26	42	166	124	942	583	1011	1252
MIR3194	0	0	0	0	0	0	0	0	1	4
ATP9A	429	465	439	656	4053	3255	2101	2147	3194	3258
SALL4	12707	15157	10701	16510	14033	11092	1591	1761	41	67
LINC01429	3	0	5	3	1	2	0	0	4	1
LOC105372664	333	269	303	291	166	186	54	74	102	174
ZFP64	1602	1610	1495	1611	1201	982	613	758	611	589
LOC105372666	1	2	1	1	3	0	1	1	2	7
LOC107985427	0	0	0	0	0	0	0	0	0	0
LOC105372667	0	0	0	0	0	0	0	0	0	0
LOC124904931	0	0	0	0	0	0	0	0	2	0
LOC105372665	0	0	0	0	0	0	0	0	1	0
LINC01524	0	0	0	0	0	1	0	0	1	4
LOC105376985	0	0	0	0	0	0	0	0	1	0
LOC105372668	0	0	0	0	1	1	0	0	0	8
LOC124904932	0	0	0	0	0	0	0	0	2	2
TSHZ2	90	38	104	112	569	525	712	1067	624	2107
LOC105372670	5	1	4	5	23	12	7	9	17	71
LOC105372669	73	29	83	87	167	230	37	29	63	247
LOC105372671	0	0	0	0	0	0	0	0	0	1
LOC101927770	47	37	72	67	86	71	18	14	75	119
ZNF217	4488	3687	6872	9098	6432	5142	2141	1974	2010	2229
LOC105372672	2	1	5	9	0	0	0	0	0	0
LOC124904933	5	3	2	3	6	12	24	30	30	21
LOC124904934	1	2	0	0	2	0	0	0	0	0
LOC124904935	4	1	3	0	7	1	0	2	1	4
SUMO1P1	0	0	1	1	0	0	0	0	0	0
LOC124904936	6	9	0	3	11	3	0	4	6	5
BCAS1	7	10	21	70	9	3	1	0	10	9
MIR4756	0	0	0	0	0	0	0	0	0	0
CYP24A1	14	10	150	277	14	14	12	2	0	12
LOC105372675	0	0	0	3	0	0	0	0	0	0
LOC124904937	22	21	14	27	20	11	6	8	0	2
PFDN4	1486	1808	1253	1817	1544	1133	423	573	530	532
LOC107985385	0	0	3	2	0	2	2	0	1	0
DOK5	219	169	72	128	55	44	70	106	121	347
LINC01441	0	1	0	0	3	2	0	0	0	2
LINC01440	0	0	0	0	1	4	1	0	0	0
LOC105372676	0	0	0	0	2	5	0	4	1	4
LOC107984001	0	0	0	0	5	5	0	0	5	8
LOC105372677	0	0	0	0	0	0	0	0	0	0
LOC105372678	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	19	91
LOC105376989	0	0	0	0	0	0	0	0	0	0
LOC105372680	0	0	0	0	0	0	0	0	0	4
MC3R	0	0	0	0	0	0	0	0	0	0
FAM210B	963	1261	1063	1576	2449	1364	6384	6583	1739	1842
AURKA	4033	5102	3025	3740	4041	2680	1245	1498	1774	1308
CSTF1	2288	2485	1879	2421	2694	2182	1616	2272	1161	1120
CASS4	13	7	5	10	4	4	6	13	70	78
RTF2	1686	2042	1996	2626	2863	2214	2256	2728	2237	1634
LOC124904979	0	1	0	0	5	2	1	0	1	2
GCNT7	18	14	22	22	51	44	13	9	43	95
FAM209A	3	1	1	1	3	2	1	1	0	1
FAM209B	8	5	3	3	7	2	4	6	1	2
LOC124904971	0	2	0	0	4	2	0	0	1	0
LINC01716	0	1	0	0	0	0	0	0	0	0
TFAP2C	363	266	626	432	53	42	30	2	2	11
LOC105372683	0	1	3	3	0	0	0	0	0	0
LOC105372685	44	69	4	6	2	3	2	4	5	1
LOC105372686	1	1	0	0	3	1	1	2	180	47
BMP7	602	507	1605	2374	1641	1466	3683	4369	5152	2776
BMP7-AS1	5	1	4	3	11	14	2	2	42	47
LOC112268270	1	2	3	3	9	6	10	9	14	7
LOC105372687	0	0	3	0	1	3	0	0	1	1
MIR4325	0	0	0	0	1	0	0	0	0	0
SPO11	0	0	0	0	1	2	0	0	0	2
RAE1	1006	1314	878	919	1513	1215	1276	1513	914	791
LOC124904938	19	13	24	25	59	61	6	14	63	95
RBM38-AS1	26	26	11	18	57	42	32	49	102	95
RBM38	1768	2359	774	942	3413	2220	7343	7498	4016	2638
LOC124904939	1	1	0	0	3	1	3	5	0	4
LOC105372688	0	2	1	0	5	2	6	9	3	5
CTCFL	107	106	247	295	360	414	13	16	1	9
LOC124904940	1	1	0	0	0	0	0	0	0	0
LOC124904941	0	0	0	0	0	1	0	0	0	0
PCK1	1	1	1	0	8	2	1	0	2	4
ZBP1	2	0	3	0	0	0	0	0	0	3
PMEPA1	1331	1694	630	625	83	56	617	381	1614	1458
NKILA	70	118	61	57	19	14	56	60	118	63
LOC105372692	48	39	17	26	41	34	13	15	15	21
LOC105372693	3	2	0	1	0	0	0	0	0	4
LINC01742	0	0	0	0	0	0	0	0	0	1
LOC107987284	0	0	0	0	0	0	0	0	0	0
LOC107985434	0	0	0	0	0	0	0	0	0	1
C20orf85	0	0	1	1	4	1	0	0	0	8
LOC105372694	1	1	1	0	0	0	0	0	0	4
ANKRD60	1	2	2	1	1	0	0	0	1	1
PPP4R1L	213	208	220	322	561	478	84	146	267	315
RAB22A	649	724	710	925	1546	1347	1035	919	1767	2077
VAPB	1262	1152	1345	1533	2823	2338	1650	1742	2577	2544
APCDD1L	74	127	412	650	820	440	70	7	263	233
APCDD1L-DT	2	2	71	131	37	21	6	9	7	24
LINC01711	3	0	1	4	2	2	4	6	4	6
LOC107985410	2	4	8	7	15	7	1	4	3	5
STX16-NPEPL1	23	8	28	24	40	51	10	23	61	53
STX16	520	249	421	523	529	743	262	263	827	979
NPEPL1	29	24	15	24	47	23	28	34	39	33
LOC124904942	16	22	16	22	58	35	22	13	33	25
LOC105372695	0	0	0	1	0	1	0	0	0	0
MIR296	5	6	1	2	2	4	0	0	3	1
MIR298	7	12	4	6	9	11	1	0	5	8
GNAS-AS1	143	161	83	73	136	141	13	19	28	38
GNAS	18545	19111	18394	24751	36876	27325	47052	48975	33167	28078
LOC101927932	5	3	8	6	9	5	5	7	10	9
LOC107985382	1	0	0	0	1	2	1	1	0	1
NELFCD	1594	2134	1269	1498	2150	1453	2119	2209	1659	1693
CTSZ	617	747	912	1032	1429	902	1603	1757	1536	1260
TUBB1	31	30	9	11	51	32	24	23	84	124
ATP5F1E	101	123	82	96	135	138	126	146	140	139
SLMO2-ATP5E	0	1	0	0	0	0	0	0	0	0
PRELID3B	736	666	615	677	756	664	366	475	539	480
LOC124904943	0	0	0	0	0	0	1	0	1	1
ZNF831	0	6	2	0	1	3	0	0	16	50
EDN3	1	12	1	4	1	0	7	1	15	86
PHACTR3	3	1	1	0	0	0	49	58	237	160
PHACTR3-AS1	0	0	0	0	0	0	0	0	2	0
SYCP2	16	25	25	38	40	35	3	10	245	331
FAM217B	832	871	499	734	1302	1245	845	964	1625	1419
PPP1R3D	178	189	146	197	325	252	303	315	563	388
CDH26	66	105	24	25	41	35	11	12	39	136
LINC02910	0	0	1	0	12	19	0	0	5	27
LOC729296	0	0	0	0	1	5	0	0	0	11
MIR646HG	0	0	0	0	3	3	0	0	156	78
LOC105372698	0	0	1	0	0	6	0	0	153	82
MIR646	0	0	0	0	0	0	0	0	10	3
LOC105372697	0	0	3	0	0	5	0	1	306	151
LOC101928048	0	0	0	0	0	0	0	0	9	4
LOC124904944	0	0	0	0	1	6	0	0	77	35
MIR4533	0	0	0	0	0	0	0	0	0	0
LOC124904945	0	0	0	0	0	2	0	0	25	10
MIR548AG2	0	0	0	0	0	0	0	0	3	1
LOC105372699	39	75	11	6	27	14	2	1	2	3
LOC105372700	11	2	0	0	3	2	1	1	0	3
LINC01718	0	0	0	0	0	0	0	0	0	0
LOC105372701	0	0	0	0	0	0	0	0	0	0
CDH4	338	305	183	101	126	51	69	81	216	316
LOC105372703	53	70	31	31	6	4	1	1	4	9
LOC100128310	5	6	0	0	0	0	0	0	3	6
MIR1257	1	0	1	2	2	1	2	0	0	2
TAF4	750	789	407	613	797	629	502	417	506	500
LOC105372704	32	39	15	19	43	38	5	7	26	56
MIR3195	0	0	0	0	0	0	0	0	0	0
LOC105372705	41	34	47	53	147	79	30	20	23	28
LOC105372706	27	15	15	26	24	28	6	12	21	25
LSM14B	2471	2547	2088	2995	2929	2304	1485	1729	1918	1460
PSMA7	6114	8046	2825	3349	4098	3027	3286	3933	2835	2467
SS18L1	1072	954	651	840	1165	1138	717	847	981	1035
MTG2	684	767	535	658	884	695	740	813	717	863
HRH3	52	79	0	2	3	0	0	2	3	3
LOC105369209	5	8	4	2	1	0	10	20	45	14
OSBPL2	1341	1422	614	786	1345	1146	1973	2389	1883	1409
ADRM1	3040	4474	1431	1385	2370	1908	2284	2520	1562	1288
LAMA5	5225	4349	5308	6959	9363	9261	8585	5771	6390	8004
MIR4758	0	0	0	0	0	0	0	0	0	0
LOC124904946	15	15	14	6	32	36	11	5	35	52
LAMA5-AS1	15	27	9	12	32	27	2	4	10	22
LOC105372708	11	13	13	9	37	38	10	11	35	55
RPS21	7753	6937	6033	6637	8267	7005	2453	2485	4001	2790
CABLES2	346	329	341	401	754	552	452	433	743	747
LOC105372709	45	43	31	28	50	42	5	12	43	84
RBBP8NL	53	58	6	10	64	59	23	0	1	12
LOC105372710	7	12	3	2	21	15	1	0	1	6
GATA5	4	1	15	27	1533	811	1481	1511	373	573
LOC105372711	0	0	2	6	238	108	25	27	30	111
LOC124904947	0	0	0	0	11	5	17	10	2	2
LOC105376995	0	0	0	0	2	1	1	2	6	0
CRMA	4	1	0	0	408	403	1123	1069	1323	725
MIR1-1HG	0	2	0	0	56	63	144	131	352	520
MIR1-1	0	0	0	0	0	1	2	3	10	18
MIR133A2	0	0	0	0	0	2	3	4	24	20
LINC02970	5	4	3	1	1	2	5	3	4	8
LOC124904948	0	1	0	0	0	1	0	0	0	0
LOC124904949	2	5	0	0	1	3	1	1	0	2
SLCO4A1	509	526	56	38	45	66	11	6	21	57
SLCO4A1-AS2	71	53	8	12	12	14	9	10	11	24
SLCO4A1-AS1	8	7	0	0	1	2	0	0	1	9
NTSR1	64	66	23	23	38	20	3	2	8	20
LINC00659	20	15	23	18	13	15	0	1	0	1
LOC105372716	1	3	2	5	4	2	1	1	1	2
MRGBP	1177	1124	803	1102	1098	769	655	761	602	561
OGFR-AS1	7	5	10	8	12	8	7	3	10	19
OGFR	1135	1130	733	888	1186	703	1127	1146	768	727
COL9A3	1389	1979	961	1084	1646	1526	207	94	847	3330
TCFL5	1081	992	705	812	1179	945	406	550	464	593
LOC105372717	10	8	8	10	15	11	2	5	5	8
DIDO1	3635	4955	2214	2551	5095	4625	3759	3569	4556	4216
SNORA117	0	0	1	0	1	1	1	0	2	1
GID8	3509	3786	2379	3259	4364	3278	3420	3426	2237	2002
SLC17A9	878	1075	315	475	481	562	38	16	18	112
BHLHE23	3	1	0	0	0	0	0	0	0	0
LINC01749	5	0	1	2	0	0	0	0	1	0
LOC105372718	4	3	1	7	2	3	0	0	1	5
LINC00029	4	6	2	0	0	1	0	0	0	0
LINC01056	0	3	0	0	0	0	0	0	0	0
HAR1B	0	0	0	0	0	0	0	0	0	0
HAR1A	1	1	0	0	0	0	0	0	2	0
LOC105372719	0	0	0	0	0	0	0	0	1	0
LOC105376996	0	0	0	0	0	0	0	0	1	0
LOC124904952	16	15	2	2	1	1	0	1	2	5
MIR124-3	2	1	0	0	1	0	0	0	0	0
YTHDF1	2607	2844	1410	1571	3005	2296	1821	1818	1422	1429
BIRC7	5	3	11	23	7	1	8	4	7	13
MIR3196	0	1	1	0	0	0	0	0	0	0
NKAIN4	38	65	19	36	20	16	70	4	125	139
LOC124904950	14	24	3	14	1	7	13	0	38	64
FLJ16779	17	9	2	2	8	3	16	1	41	65
ARFGAP1	2955	3258	1976	2670	3999	3646	1601	1919	1875	2327
MIR4326	4	10	0	6	6	5	0	3	1	3
COL20A1	8	10	9	4	3	6	1	0	13	66
CHRNA4	57	54	9	7	3	2	1	0	4	31
LOC100130587	0	2	0	1	0	0	0	0	1	5
LOC124904953	1	0	0	0	0	0	0	0	0	0
KCNQ2	1174	1137	780	788	452	344	8	14	111	331
LOC105372724	5	7	7	6	3	3	0	0	1	3
LOC105372721	2	12	3	7	2	0	0	1	1	6
KCNQ2-AS1	5	1	0	1	2	0	0	0	3	0
EEF1A2	476	539	336	353	834	708	24987	30520	16336	8535
LOC124904955	3	2	1	0	9	4	67	78	39	38
LOC105372725	0	0	0	1	0	0	7	14	2	4
LOC102723814	68	86	105	199	218	157	70	102	96	119
PPDPF	1313	1173	1939	2499	3746	2443	3330	3449	2251	2118
PTK6	41	29	37	73	132	128	15	16	44	64
SRMS	24	26	17	37	20	20	10	7	6	7
FNDC11	72	90	84	165	84	40	11	20	9	24
HELZ2	1187	1177	1192	1905	1355	1045	307	336	970	1024
GMEB2	1070	1134	837	991	1133	798	665	848	665	615
MHENCR	62	60	72	93	114	85	40	62	70	55
STMN3	856	1174	148	196	102	48	147	116	504	839
RTEL1-TNFRSF6B	0	0	0	0	0	0	0	0	0	0
RTEL1	59	87	35	40	67	32	25	23	62	41
LOC124904954	22	14	5	9	16	22	5	9	17	25
TNFRSF6B	1	0	2	0	3	3	1	1	2	1
ARFRP1	587	925	520	677	930	673	1056	1423	1006	785
ZGPAT	545	809	370	567	743	587	449	521	412	483
LIME1	100	150	93	123	197	162	102	128	133	158
SLC2A4RG	712	690	782	1040	1199	836	1069	1281	1413	1207
ZBTB46	1409	1453	828	1177	2267	1726	2102	2696	1309	1152
LOC124904956	14	18	17	11	28	37	13	20	44	65
ZBTB46-AS1	10	5	1	4	18	7	5	5	41	53
C20orf181	4	1	4	3	5	3	1	2	1	2
LOC112268269	126	164	129	183	299	286	129	183	183	199
ABHD16B	0	0	0	0	0	0	0	0	0	0
TPD52L2	2246	3517	1723	2194	2843	2277	2677	3448	3287	2646
DNAJC5	2093	3009	1379	1753	3404	2463	3456	3858	2716	2268
LOC124904951	29	11	6	19	32	37	9	9	31	103
MIR941-1	0	0	0	0	0	0	0	0	0	0
MIR941-2	0	0	0	0	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0	0	0	0	0
MIR941-5	0	0	0	0	0	0	0	0	0	0
UCKL1	1115	1236	644	863	727	650	756	982	1431	1384
MIR1914	0	0	0	0	0	0	0	0	0	0
MIR647	2	2	3	4	1	6	1	12	37	25
UCKL1-AS1	26	48	19	28	66	53	26	17	162	242
ZNF512B	1327	1995	815	1057	2085	1607	3556	3666	2242	2333
SAMD10	110	111	62	79	119	103	266	341	191	163
PRPF6	3051	3798	2427	3185	4197	3489	2913	2934	3235	2689
C20orf204	29	34	25	37	113	89	17	17	53	122
SOX18	5	8	30	20	47	42	16	16	221	193
TCEA2	559	510	638	945	1536	1247	951	1153	867	761
RGS19	293	327	215	278	231	156	120	131	167	202
MIR6813	0	0	0	0	0	0	0	0	0	0
OPRL1	45	29	106	167	229	147	169	368	142	116
LKAAEAR1	11	10	10	4	12	8	7	2	37	23
NPBWR2	4	2	2	1	1	0	1	1	1	1
LOC105372727	1	0	0	1	2	3	0	0	0	0
MYT1	98	41	110	105	39	74	1	3	14	111
PCMTD2	1431	1856	2279	3110	3373	2723	1894	2406	2392	2297
LOC124904957	11	7	14	8	13	17	2	4	17	21
SEPTIN14P20	0	0	2	0	0	4	0	1	4	2
LOC105379484	0	1	0	0	0	0	0	0	0	0
LOC124905051	0	0	0	0	0	0	0	0	0	0
LOC102723996	19	33	19	19	4	7	3	1	23	27
LOC124905052	0	0	0	0	0	0	0	0	1	0
LOC124900468	0	0	0	1	0	0	0	0	0	0
LOC107987292	0	0	0	4	4	3	0	0	1	3
CH507-9B2.8	0	0	0	0	0	0	0	1	0	3
LOC101928576	9	3	2	10	8	26	5	6	26	31
LOC102724023	285	389	318	379	424	345	729	843	513	186
LOC102724159	529	695	294	392	386	387	153	176	162	96
LOC102724200	49	37	26	28	36	34	22	31	40	44
LINC01670	0	0	0	0	0	0	0	0	0	0
LOC105379488	0	0	0	0	0	0	0	0	0	0
LOC102724219	0	0	0	0	1	0	0	1	1	0
LOC124904990	0	0	0	0	0	0	0	0	0	0
LOC102724334	4	7	9	2	6	8	1	0	1	2
LOC102724354	0	0	0	0	0	0	0	0	1	0
LOC102724370	0	0	0	0	0	0	0	0	0	0
CH507-42P11.6	0	0	0	0	0	2	0	0	2	0
LOC102724428	92	79	25	20	54	29	91	87	135	95
LOC107987288	0	1	0	0	0	0	0	0	0	0
LOC124905049	1	0	0	0	0	0	0	0	0	0
LOC102724701	41	53	36	26	40	35	30	48	55	38
CH507-145C22.1	6	6	3	3	5	3	1	1	1	13
LOC102724560	51	117	25	48	43	38	5	14	42	11
LOC102724594	8	2	4	9	9	4	2	0	3	15
LOC102724652	1	0	1	0	0	1	0	0	0	0
LOC106780825	0	0	0	0	0	0	0	0	0	0
LOC110091777	3	3	0	2	5	1	2	2	1	6
MIR8069-1	0	0	0	0	0	0	0	0	0	0
LOC105379499	10	9	1	1	4	6	1	0	3	3
LOC102724843	1	1	0	1	0	1	3	1	0	1
LOC124904989	0	0	0	0	0	0	0	0	0	0
LOC105379502	0	0	0	0	0	0	0	0	0	0
LOC102724951	3	1	0	2	0	3	2	1	0	1
LOC124904991	0	0	1	0	0	0	0	2	0	0
LOC102723360	1	0	5	3	2	1	2	0	2	1
LOC102723553	6	9	21	14	29	21	45	65	19	19
LOC102723451	0	0	0	0	0	0	0	0	0	0
LOC105379504	3	1	1	1	0	7	3	3	1	8
LOC107983987	0	0	0	0	0	0	0	0	0	0
LOC102723475	0	1	0	0	3	2	18	29	32	16
LOC124900474	0	0	0	0	0	0	0	0	0	0
LOC105379505	0	0	0	0	0	0	0	0	0	0
LOC124904992	0	0	0	0	0	1	0	0	0	0
LOC124904993	0	1	0	0	0	0	0	0	0	1
MIR6724-1	0	0	0	0	0	0	0	0	0	0
RNA45SN2	180	138	165	79	131	92	135	102	417	288
MIR3648-1	0	0	0	0	0	0	0	0	0	0
RNA18SN2	0	0	0	0	0	0	0	0	0	0
RNA5-8SN2	0	0	0	0	0	0	0	0	0	0
RNA28SN2	0	0	0	0	0	0	0	0	0	0
CDC27P9	0	0	1	0	0	0	1	0	0	1
MIR6724-2	0	0	0	0	0	0	0	0	0	0
MIR6724-3	0	0	0	0	0	0	0	0	0	0
RNA45SN3	85	50	83	31	51	41	38	19	483	399
RNA18SN3	0	0	0	0	0	0	0	0	0	0
RNA5-8SN3	0	0	0	0	0	0	0	0	0	0
RNA28SN3	0	0	0	0	0	0	0	0	0	0
CDC27P10	1	0	0	0	2	3	0	1	3	3
MIR6724-4	0	0	0	0	0	0	0	0	0	0
RNA45SN1	7	4	12	3	7	16	8	0	8	7
MIR10396B	0	0	0	0	0	0	0	0	0	0
RNA18SN1	0	0	0	0	0	0	0	0	0	0
RNA5-8SN1	0	0	0	0	0	0	0	0	0	0
RNA28SN1	0	0	0	0	0	0	0	0	0	0
LINC01666	0	0	0	0	0	0	0	0	1	4
LOC124904994	0	0	0	0	0	0	0	0	1	1
LOC124904996	1	0	0	2	2	1	0	1	2	5
MIR3648-2	3	1	2	0	0	1	0	0	9	10
MIR10396A	0	0	0	0	0	0	0	1	5	8
LOC101927615	0	0	0	1	0	0	1	0	0	0
TEKT4P2	0	0	0	0	0	0	0	0	1	0
LOC101930100	1	0	0	0	0	0	0	0	5	6
LOC101927345	2	2	2	3	5	6	4	1	121	80
NCOR1P4	0	0	0	0	0	0	0	0	1	0
LOC105379514	0	0	0	0	0	0	0	0	0	0
LOC124904997	0	0	0	0	0	0	0	0	0	0
LINC01667	0	0	0	0	0	0	0	0	0	0
LOC105372734	0	0	0	0	0	0	0	0	0	0
LOC105372733	0	0	2	0	1	1	4	4	5	1
BAGE2	2	0	1	0	0	3	1	1	3	1
TPTE	0	1	1	0	0	2	0	0	2	1
ANKRD30BP2	0	0	0	0	1	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0	0	0	0	0
LINC01674	0	0	0	0	0	0	0	0	0	0
POTED	0	0	1	1	0	0	0	0	0	0
MIR3118-1	0	0	0	0	0	0	0	0	0	0
LOC107985482	0	0	0	0	0	0	0	0	0	0
LOC112268283	0	0	0	0	0	0	0	0	0	0
MIR8069	0	0	0	0	0	0	0	0	0	0
CYP4F29P	0	0	0	0	0	0	0	0	1	3
LOC110091776	0	0	0	0	0	0	0	0	1	5
ANKRD20A11P	1	0	0	0	0	0	0	1	1	3
LOC105377134	43	31	39	30	107	126	16	5	26	48
LIPI	5	2	10	1	13	26	0	1	4	24
RBM11	82	71	95	154	156	100	12	31	0	12
ABCC13	0	0	0	0	0	0	0	0	15	1
HSPA13	2386	1995	2291	3373	3575	3003	1376	1734	1294	1650
LOC105369304	25	32	23	41	45	39	12	11	26	14
LOC124905053	0	0	0	0	1	1	0	0	0	0
SAMSN1	122	135	68	28	134	145	28	17	60	106
SAMSN1-AS1	0	2	0	0	0	0	0	0	0	0
LOC105372738	0	0	0	0	1	0	0	0	0	0
LOC124905054	0	0	0	0	0	0	0	0	0	0
ASMER1	60	40	89	147	181	96	177	217	101	142
NRIP1	1558	1617	2604	3251	6199	4555	6447	6092	3097	3730
LOC107985483	0	1	0	0	0	0	0	0	0	0
LOC124905047	0	0	0	0	0	0	0	0	0	1
LOC105369292	0	0	0	0	0	0	0	0	0	0
LOC101927745	1	0	0	0	0	1	2	0	2	2
LOC124905055	0	0	0	0	1	0	0	0	0	0
LOC105369302	0	0	0	0	0	1	1	1	2	2
LOC124905056	0	0	0	1	0	0	0	0	0	0
LOC124905073	0	0	0	0	0	0	0	0	0	0
USP25	3739	3525	2476	2969	2919	2396	2487	4278	3509	3765
MIR99AHG	0	0	3	2	55	35	206	210	1061	1632
SNORD74B	0	0	0	0	0	0	1	0	3	8
MIR99A	0	0	0	0	0	1	2	0	9	11
MIRLET7C	0	0	0	0	0	0	2	0	16	19
MIR125B2	0	0	0	0	1	0	1	0	9	9
LOC124904998	1	2	0	0	0	0	0	0	0	0
LOC105372740	1	6	0	0	0	0	0	0	0	1
LOC107985511	0	0	0	0	0	1	0	0	0	0
LINC01549	0	0	0	0	42	29	0	0	0	1
TRG-GCC1-5	41	25	63	33	118	93	9	8	9	10
CXADR	8672	8523	4787	5179	7390	6775	3009	3305	2668	1824
BTG3	836	707	742	878	1033	1009	378	496	765	776
BTG3-AS1	13	23	25	19	34	42	3	6	32	22
LOC124904999	0	0	0	0	0	0	0	0	0	0
LOC124900465	14	15	2	6	21	24	10	3	9	14
C21orf91-OT1	2	3	4	5	4	12	2	1	1	8
C21orf91	1107	1261	947	1282	1637	1742	775	705	594	755
CHODL-AS1	3	0	2	0	1	1	0	0	0	1
CHODL	49	76	120	165	53	40	24	14	47	158
LOC124905000	5	2	2	1	4	3	0	0	1	1
TMPRSS15	0	1	13	14	22	8	2	0	0	2
MIR548XHG	1	0	0	0	1	1	0	0	0	4
MIR548X	0	0	0	0	0	0	0	0	0	0
LOC107985490	0	0	0	0	0	0	0	0	0	0
LOC124905048	0	0	0	0	0	0	0	0	0	0
LINC01683	0	0	0	0	0	0	0	0	0	0
LOC105372745	0	0	0	0	0	0	0	0	0	0
LINC02573	0	0	0	0	0	0	0	0	0	5
LINC00320	0	0	0	0	0	0	0	0	0	0
LOC124905057	0	0	0	0	0	0	0	0	0	0
NCAM2	28	21	9	12	13	14	46	24	363	540
LINC00317	0	0	0	0	0	0	0	0	0	0
LINC01425	0	0	0	0	0	0	0	0	0	0
LINC01687	0	0	0	0	0	0	0	0	0	0
LINC00308	0	0	0	0	0	0	0	0	0	1
LOC107985508	0	0	0	0	0	0	0	0	2	23
LOC107985494	0	0	0	0	0	0	0	0	0	0
MIR6130	0	0	0	0	0	0	0	0	0	0
D21S2088E	1948	2302	281	343	27	11	1	1	4	17
LOC105372747	0	0	0	0	0	0	0	0	0	0
LOC107985512	0	0	0	0	0	0	0	0	0	0
LOC105372749	0	0	0	0	0	0	0	0	0	0
LOC105372750	0	0	0	0	0	0	0	0	1	0
LINC01689	0	0	0	0	0	0	0	0	0	0
LINC01684	0	0	0	0	0	0	0	0	0	1
LINC01692	0	1	1	0	0	0	0	0	1	0
LOC107985516	0	0	0	0	1	0	0	0	1	0
LINC00158	0	0	2	0	2	6	12	33	30	32
LOC105372753	3	5	0	1	16	13	76	146	109	67
MIR155HG	11	4	2	2	5	9	0	2	22	39
MIR155	0	0	0	0	0	0	0	0	0	0
LINC00515	4	2	4	7	9	16	20	17	30	42
MRPL39	1639	1866	1354	1657	1521	1071	1320	1776	1126	827
JAM2	303	198	56	78	159	140	106	111	695	646
LOC124905001	18	9	3	1	5	11	5	5	85	71
LOC124905002	4	10	6	9	26	28	15	8	69	77
ATP5PF	1669	1698	1039	1205	1927	1398	3864	4242	2891	1932
GABPA	1327	1223	798	801	1306	1070	1055	1101	1038	1197
LOC105372757	0	0	0	0	0	0	0	0	0	0
LOC105372756	1	0	0	0	0	0	0	0	0	0
APP	31311	25618	23360	27805	29961	24289	12946	12363	15987	15791
LOC124900466	210	102	113	67	141	247	19	16	230	401
CYYR1-AS1	55	23	27	18	69	90	4	4	52	70
LOC105372758	0	0	0	0	0	1	0	0	0	0
LOC107985474	18	10	10	11	19	20	4	3	10	26
CYYR1	2055	2233	1088	1087	1988	1614	261	257	517	647
ADAMTS1	1574	1843	2789	2188	3338	2863	2217	3701	3915	3451
