	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4	IDA_1	IDA_2	IDA_3	IDA_4
ARFGEF2	5451	5290	2492	4394	2366	8051	2536	5167	2603	5508	2450	3186	2050	3170	3145	3808	3490	1787	2153	1999
CSE1L-DT	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	6	4	13	0
CSE1L	3235	4202	1874	2872	1345	5756	1559	4629	2458	3733	1490	1925	1218	1266	1222	2590	2989	1328	1939	1457
STAU1	5932	6018	2346	4545	1856	7758	2405	5885	2936	5195	2552	2927	1776	2529	2417	4169	3902	1370	2663	2016
DDX27	1486	1052	337	724	415	1636	646	1152	608	1021	507	679	290	628	473	648	1108	349	1072	671
ZNFX1	2695	1432	515	1351	615	2247	836	1714	848	1687	810	1041	579	1026	895	1002	1671	732	1916	1051
ZFAS1	1365	1403	393	699	531	1991	626	1589	725	1094	535	732	302	691	599	766	857	477	827	461
SNORD12C	3	2	0	0	0	3	4	2	0	0	0	0	0	2	0	2	1	1	6	3
SNORD12B	5	2	0	8	8	7	4	7	2	7	7	8	3	4	0	0	6	4	9	4
SNORD12	11	15	8	13	3	4	6	17	8	12	10	11	0	11	11	6	19	6	23	9
LOC124904925	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	4	0
LOC105372649	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	9	3	3	2
KCNB1	11	11	17	8	3	6	8	56	28	39	3	6	13	5	8	15	85	6	40	24
PTGIS	291	622	267	1000	646	540	861	2719	1495	1308	133	944	303	579	130	343	156	313	129	51
LOC101927486	1	0	1	0	0	3	2	19	5	2	3	2	0	1	1	0	5	0	3	0
LOC105372651	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904926	2	4	0	2	0	7	3	7	4	4	3	6	0	2	1	4	11	1	6	4
B4GALT5	2570	2171	856	1989	730	3455	1602	2821	1487	2563	1166	1778	897	1554	1034	1344	1986	531	2176	1459
LOC105372652	5	1	0	5	0	0	4	2	1	3	2	4	0	2	1	3	5	1	10	5
SLC9A8	757	776	285	600	332	1028	492	810	386	958	411	484	251	556	450	462	471	267	709	321
MIR12122	0	4	0	3	0	1	3	0	1	6	0	1	3	1	2	2	2	1	9	2
SPATA2	367	476	159	377	172	567	302	432	233	472	214	280	145	247	201	329	421	141	383	241
LOC105372653	2	1	1	0	0	1	0	3	0	0	0	2	0	3	0	2	7	1	1	6
RNF114	1961	1844	599	1183	604	2581	849	1794	936	1756	808	1038	526	892	879	1020	1843	616	1552	1116
LOC124904976	0	3	7	4	2	11	7	1	1	5	5	7	2	4	6	6	9	2	5	0
SNAI1	6	7	1	5	9	23	82	39	12	13	2	9	5	98	2	3	41	5	574	35
LOC105372654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRERNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372655	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2
PEDS1-UBE2V1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2V1	80	99	46	70	48	124	61	89	23	97	44	65	22	52	46	89	135	51	78	52
PEDS1	1124	1176	430	961	358	2034	547	1124	608	1312	501	543	361	522	423	825	705	210	419	360
LOC124904927	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01275	11	4	5	9	1	10	6	6	4	14	7	3	6	11	12	10	23	7	8	6
LINC01273	18	8	1	12	6	16	10	7	5	20	7	10	2	3	9	1	22	5	16	9
CEBPB-AS1	101	78	28	46	43	65	41	70	38	89	28	48	32	50	56	46	54	50	80	41
CEBPB	166	118	48	102	47	173	89	207	121	186	55	77	56	88	64	77	216	69	292	109
LOC107985386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105372656	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	3	5	3
PELATON	1	0	0	0	1	0	0	9	3	0	0	1	0	0	1	0	5	2	1	1
LINC01270	5	6	8	13	5	12	13	20	8	27	6	15	5	0	6	7	23	0	14	7
LINC01271	2	3	1	3	1	2	5	4	5	11	0	0	1	1	1	2	3	1	0	1
LOC105372657	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	8	2	9	4
LOC124904928	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	4	0	1	0
PTPN1	1836	1873	833	1434	491	2346	872	2320	1060	1760	825	916	500	923	750	1272	2692	533	2446	1563
MIR645	0	0	2	0	1	1	3	2	0	1	0	0	0	0	0	0	1	1	1	1
RIPOR3	111	75	24	40	77	172	124	58	37	143	47	157	49	181	42	50	166	92	209	122
MIR1302-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RIPOR3-AS1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	1	3
LOC105372659	0	1	2	0	0	0	0	0	0	1	0	1	0	1	1	0	7	4	3	0
PARD6B	345	1143	496	512	289	877	161	934	307	685	172	287	250	198	172	725	792	120	198	148
BCAS4	345	332	121	244	181	329	213	395	221	290	171	214	77	219	167	201	324	131	249	192
LOC124904929	23	14	3	14	6	19	8	27	8	16	7	17	9	23	7	6	21	6	9	2
ADNP	4925	6609	2756	4863	2485	7826	2312	6229	3004	5579	2125	3173	2207	2432	2441	4313	3811	1781	2058	1540
ADNP-AS1	86	68	38	39	32	72	21	45	23	61	31	42	28	36	33	64	89	20	77	44
DPM1	1111	934	379	635	294	1435	374	1021	487	836	443	508	305	476	450	586	1093	333	960	562
MOCS3	260	353	135	247	130	446	151	325	185	312	157	178	91	185	107	192	295	102	371	181
KCNG1	6	21	7	7	3	14	14	90	68	5	5	10	1	11	1	23	6	11	13	6
LOC105372661	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	1	6	2
LOC105372662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124904930	0	0	0	1	0	3	1	3	1	0	1	1	0	0	0	0	8	0	3	0
LOC105372663	6	1	2	3	1	0	0	0	0	1	0	0	0	0	0	2	7	0	4	2
NFATC2	372	425	148	250	195	662	172	248	154	357	213	192	98	199	226	243	477	251	275	230
MIR3194	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
ATP9A	3181	2950	1286	2533	1108	2875	1772	3133	1394	3092	1417	2042	1023	1963	1543	1999	3492	695	2622	1566
SALL4	7	39	17	10	26	64	20	67	31	6	3	19	2	20	7	20	136	34	69	32
LINC01429	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	4	0
LOC105372664	34	34	15	37	36	56	38	79	32	55	13	49	23	35	21	40	38	22	15	7
ZFP64	276	470	141	296	172	500	231	398	226	457	186	236	145	257	155	304	292	128	146	120
LOC105372666	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	21	3	20	11
LOC107985427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0
LOC105372667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124904931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3
LOC105372665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1
LINC01524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	3
LOC105376985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1
LOC105372668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	4
LOC124904932	8	8	8	5	4	20	3	7	4	8	2	10	7	9	2	7	20	7	23	9
TSHZ2	867	880	425	716	553	1434	682	1181	601	1210	432	950	427	718	449	568	306	338	213	159
LOC105372670	18	6	1	5	5	15	4	9	8	8	4	10	3	6	2	2	7	10	23	5
LOC105372669	94	32	27	72	112	109	75	142	79	72	61	150	42	114	78	41	67	115	122	47
LOC105372671	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0
LOC101927770	21	21	10	14	10	32	16	37	12	20	8	17	10	10	11	16	31	7	21	14
ZNF217	1020	1230	575	822	491	1566	549	1590	700	1038	518	715	331	602	422	771	1181	433	884	511
LOC105372672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
LOC124904933	28	18	4	7	8	17	4	14	6	8	1	4	6	2	2	10	47	14	34	9
LOC124904934	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	9	3
LOC124904935	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	7	2	9	8
SUMO1P1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0
LOC124904936	4	7	2	1	1	4	1	1	1	0	5	4	0	4	1	6	14	2	11	4
BCAS1	2	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	73	12	40	30
MIR4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP24A1	8	1	1	2	0	0	9	884	383	2	1	8	0	5	5	0	15	2	33	10
LOC105372675	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	5	0	3	0
LOC124904937	2	3	0	1	0	8	2	2	2	5	1	3	2	2	2	3	6	2	6	3
PFDN4	405	344	125	213	72	871	151	369	200	327	166	246	81	184	181	227	320	111	194	172
LOC107985385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
DOK5	41	35	16	34	21	35	18	100	50	57	12	31	18	16	17	29	129	28	69	69
LINC01441	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0
LINC01440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372676	0	10	7	1	0	0	0	0	0	0	0	0	0	0	0	6	17	2	0	1
LOC107984001	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	1
LOC105372677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	2
LOC105376989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MC3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM210B	1389	1902	744	1090	648	2296	859	1886	1041	1539	726	966	457	914	794	1181	2256	657	1219	1046
AURKA	1447	1403	534	1123	346	1874	408	1284	802	1338	593	409	295	279	395	700	879	147	360	398
CSTF1	1021	1136	421	844	540	1864	584	1169	580	1158	501	686	382	584	495	725	884	476	652	475
CASS4	1	1	0	4	2	4	2	3	1	11	2	4	2	1	3	1	12	2	23	13
RTF2	3955	3112	961	1919	905	4208	1425	2798	1454	2682	1270	1489	803	1406	1278	1834	2173	699	1875	1269
LOC124904979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
GCNT7	35	22	8	18	8	25	15	17	8	29	11	13	4	25	23	18	41	8	27	10
FAM209A	4	3	1	0	0	0	1	0	1	0	1	0	0	2	1	2	0	1	6	0
FAM209B	7	6	0	2	3	7	2	5	3	5	5	0	0	5	1	4	6	2	5	4
LOC124904971	0	0	1	1	1	3	0	0	0	0	2	1	0	1	0	2	3	0	1	2
LINC01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
TFAP2C	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	28	2	14	9
LOC105372683	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	1	5	3
LOC105372685	10	10	6	13	5	21	21	6	7	47	6	33	10	20	8	11	22	3	15	7
LOC105372686	167	98	30	69	3	144	35	14	14	127	49	37	48	41	73	57	25	3	5	25
BMP7	6633	8158	2714	5314	1363	8818	3949	5808	3515	9218	2964	4471	2875	3498	2704	5405	2031	881	922	1115
BMP7-AS1	7	3	0	6	1	4	2	0	2	2	9	9	3	4	6	5	6	1	5	1
LOC112268270	21	16	4	9	4	22	14	11	7	24	14	7	5	9	9	7	7	0	11	6
LOC105372687	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	6	0	3	1
MIR4325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPO11	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	7	0	3	0
RAE1	984	908	342	608	297	1256	429	1037	438	850	440	449	284	423	423	561	924	312	739	537
LOC124904938	143	164	67	109	64	165	108	126	73	138	67	76	44	106	112	99	54	35	91	43
RBM38-AS1	177	145	49	119	42	125	79	91	40	133	86	78	53	119	83	99	28	17	25	22
RBM38	7144	7267	2012	5455	1920	9903	3858	5142	2838	8317	3547	3675	1996	3640	2605	2985	1591	943	1402	1232
LOC124904939	34	11	1	15	6	11	7	7	12	26	12	8	3	5	7	1	0	0	3	0
LOC105372688	0	1	1	1	1	1	3	1	1	7	1	4	2	2	1	0	1	0	1	0
CTCFL	0	0	3	0	1	0	0	0	0	2	0	1	0	1	0	0	21	3	7	9
LOC124904940	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
LOC124904941	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
PCK1	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	9	1	6	0
ZBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1
PMEPA1	1553	1284	398	1059	498	1575	541	1520	790	869	595	670	300	620	586	740	623	399	820	518
NKILA	138	133	33	72	53	94	49	81	51	76	48	71	30	73	51	88	54	76	109	28
LOC105372692	3	6	3	6	12	6	11	20	3	15	2	4	0	17	4	3	25	9	110	19
LOC105372693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	2
LINC01742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107987284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985434	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105372694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	1
PPP4R1L	198	168	48	123	68	207	92	143	87	119	82	89	53	122	76	77	127	63	104	69
RAB22A	1106	1215	531	963	405	1754	516	1238	648	1097	463	631	387	565	479	787	1515	336	1059	623
VAPB	2829	2922	1325	2037	969	3585	1177	2862	1448	2724	1111	1436	943	1155	1246	2083	2049	691	1054	1099
APCDD1L	7	7	0	6	6	8	9	32	14	3	5	24	1	14	6	4	6	11	7	6
APCDD1L-DT	12	4	1	1	1	5	7	3	3	2	4	2	2	1	3	2	9	1	4	1
LINC01711	1	1	1	2	1	3	3	5	3	1	0	3	1	1	2	0	8	3	2	0
LOC107985410	0	0	0	1	0	0	2	1	0	0	1	4	1	0	2	2	8	0	8	3
STX16-NPEPL1	99	45	22	26	39	61	54	57	37	89	40	59	26	70	85	24	66	36	116	48
STX16	3666	2867	1093	2227	1576	3986	1629	3033	1427	2740	1474	1864	904	1992	1871	1918	2717	1402	3089	2061
NPEPL1	39	22	3	20	12	28	18	22	14	35	15	17	7	30	10	24	17	11	22	10
LOC124904942	28	18	4	11	12	18	25	29	20	29	17	22	10	32	12	12	43	15	79	33
LOC105372695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MIR296	2	1	1	0	0	3	0	5	1	0	0	1	0	0	0	0	0	0	1	0
MIR298	4	2	0	1	1	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0
GNAS-AS1	32	17	1	7	8	15	11	20	10	14	4	21	4	10	7	5	3	10	5	4
GNAS	56833	52953	18244	40878	16435	76067	22348	50542	25190	44066	21948	25352	13505	21218	18519	32079	43033	15468	27977	24481
LOC101927932	14	4	5	4	6	17	3	6	1	12	4	9	2	6	6	10	2	7	6	1
LOC107985382	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	7	0	1	1
NELFCD	1365	1665	466	848	499	1887	752	1515	759	1261	652	831	370	779	652	939	1258	447	795	679
CTSZ	3030	1500	576	1718	600	3645	870	2452	1163	1884	1243	1078	460	904	620	856	1550	547	1223	1839
TUBB1	6	16	0	10	6	20	4	14	6	10	7	6	4	2	10	6	68	9	25	45
ATP5F1E	383	228	23	75	17	307	47	212	71	279	57	96	14	63	77	55	89	29	72	140
SLMO2-ATP5E	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRELID3B	1095	864	421	822	306	1304	287	1074	505	690	354	472	272	336	383	495	1255	256	860	656
LOC124904943	6	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	16	5	13	12
ZNF831	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	24	1	16	12
EDN3	4	24	18	9	11	11	9	35	16	5	1	15	4	15	8	44	7	4	10	1
PHACTR3	50	129	41	55	29	119	14	20	16	53	30	24	17	26	29	50	95	14	35	30
PHACTR3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYCP2	22	57	31	21	20	41	11	43	18	38	25	17	10	15	30	38	96	26	38	34
FAM217B	1039	1936	854	971	427	1536	512	939	531	1127	597	703	532	618	637	1309	1512	259	448	536
PPP1R3D	374	639	229	350	129	570	170	368	181	450	209	206	159	195	198	331	282	60	110	108
CDH26	22	63	23	25	13	19	24	19	15	30	18	13	7	22	17	42	70	15	42	29
LINC02910	0	3	3	0	0	1	0	0	1	1	0	0	0	0	0	2	21	0	7	3
LOC729296	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MIR646HG	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	4
LOC105372698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	2
MIR646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372697	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	12	1	4	5
LOC101928048	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
LOC124904944	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	10	5
MIR4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0
MIR548AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372699	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	14	3	14	5
LOC105372700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	1
LINC01718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105372701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH4	45	217	63	32	12	65	16	82	39	27	18	8	10	15	14	128	330	12	50	73
LOC105372703	3	0	0	0	1	4	0	2	1	0	3	0	0	0	0	1	7	0	2	4
LOC100128310	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0
MIR1257	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
TAF4	704	705	215	552	198	858	389	596	355	638	292	426	218	310	289	376	542	201	428	293
LOC105372704	32	27	5	17	7	36	12	26	9	8	14	18	9	20	14	11	17	6	15	6
MIR3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105372705	16	31	6	20	12	20	23	31	18	19	6	9	7	18	7	10	70	16	150	41
LOC105372706	11	12	6	13	6	12	10	17	10	8	6	5	2	14	8	8	12	4	16	6
LSM14B	2832	2213	637	1658	745	3023	1183	1858	1013	2626	1200	1230	703	1341	1234	1229	1578	509	1394	1079
PSMA7	4495	3185	969	2016	863	4922	1417	3108	1609	2798	1404	1490	748	1383	1140	1754	1863	824	1403	1169
SS18L1	1127	1184	446	718	406	1571	527	1072	577	854	511	566	340	533	572	758	1431	393	1021	833
MTG2	1148	1092	312	657	275	1211	474	908	482	893	437	491	229	581	391	609	1035	242	1051	634
HRH3	0	1	0	0	1	3	0	5	0	0	1	1	0	0	0	1	2	0	5	2
LOC105369209	0	1	0	2	5	4	0	0	0	2	1	4	0	1	8	2	7	2	7	1
OSBPL2	2097	1982	665	1438	808	2749	949	1645	896	1700	757	991	487	965	826	1181	1402	690	955	728
ADRM1	3007	2313	538	1489	510	3058	1125	2033	1028	2276	1115	1088	526	1164	715	1031	2124	492	2086	1614
LAMA5	16651	12281	3071	7270	4240	9378	6644	7241	4150	10821	6397	6507	2438	7254	5026	6464	6340	3674	5367	5439
MIR4758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904946	93	65	13	47	15	37	89	47	15	61	48	40	16	76	23	38	73	20	48	31
LAMA5-AS1	20	1	1	7	0	4	9	6	5	14	10	7	2	17	3	9	6	3	9	14
LOC105372708	36	24	11	35	13	62	32	26	14	37	28	16	13	29	16	24	34	19	63	33
RPS21	2902	3681	928	1705	1048	5542	1426	3625	1762	3459	1610	2087	756	1950	1262	1963	1318	674	1325	1009
CABLES2	472	639	202	419	192	582	303	509	288	599	290	372	169	307	271	331	279	130	157	112
LOC105372709	46	32	5	17	17	23	19	20	7	39	20	19	7	25	9	21	21	9	35	19
RBBP8NL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
LOC105372710	2	0	0	1	0	0	3	0	1	0	0	0	0	7	0	0	0	0	24	1
GATA5	920	256	64	507	321	722	315	284	223	605	365	377	164	397	303	131	89	197	145	223
LOC105372711	48	14	3	7	26	29	23	8	11	7	14	22	3	21	17	5	4	11	8	5
LOC124904947	32	0	0	28	10	25	26	17	12	20	20	25	5	26	27	2	4	12	4	6
LOC105376995	8	5	0	3	0	0	1	0	0	0	0	2	0	0	1	2	1	0	1	2
CRMA	3841	2065	400	1474	1025	2682	1827	1537	1037	3492	1496	1802	1002	2839	2300	1405	859	513	456	839
MIR1-1HG	570	650	173	361	110	469	236	245	147	599	318	269	130	293	275	416	98	49	46	92
MIR1-1	7	3	0	2	1	1	3	5	1	4	3	0	0	0	0	1	1	1	0	1
MIR133A2	7	7	1	4	1	5	2	0	1	4	1	3	2	0	0	4	0	0	0	0
LINC02970	56	99	32	46	2	30	10	18	22	59	18	5	17	8	15	27	19	4	9	26
LOC124904948	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0
LOC124904949	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	3	4
SLCO4A1	4	8	4	4	0	4	4	70	23	1	3	5	0	3	3	5	32	4	14	11
SLCO4A1-AS2	5	5	1	0	1	1	3	8	2	1	1	2	0	2	4	0	5	2	3	5
SLCO4A1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NTSR1	1	7	0	0	2	2	0	1	1	0	1	2	0	0	0	1	9	1	8	0
LINC00659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
LOC105372716	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1
MRGBP	659	515	151	338	188	785	211	534	239	489	252	266	120	242	210	324	342	146	217	211
OGFR-AS1	7	2	1	1	0	5	0	6	0	2	2	2	3	4	3	3	0	0	4	1
OGFR	1416	790	164	539	338	992	390	769	416	805	325	506	189	527	328	335	347	190	396	297
COL9A3	157	147	27	90	133	93	233	770	449	196	45	343	46	346	37	94	37	75	149	37
TCFL5	339	300	108	229	148	430	148	416	195	304	126	189	86	184	119	197	158	110	99	77
LOC105372717	3	7	3	3	4	5	0	0	3	5	2	5	0	5	1	2	5	1	5	4
DIDO1	3165	2985	987	2301	1022	3534	1593	2596	1346	3150	1397	1745	878	1773	1374	1859	1877	872	1881	1274
SNORA117	0	1	0	0	0	4	0	0	1	1	1	0	0	0	0	2	1	0	1	0
GID8	2718	2603	858	1756	898	3549	1119	2538	1231	2335	1014	1245	711	1182	1091	1542	2699	829	2134	1454
SLC17A9	12	4	1	24	52	75	70	73	51	18	9	59	4	44	6	2	4	34	28	6
BHLHE23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LOC105372718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LINC01056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HAR1B	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
HAR1A	3	0	1	1	3	1	3	2	2	1	1	2	0	0	0	0	0	2	3	1
LOC105372719	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	3
LOC105376996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124904952	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	1
MIR124-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YTHDF1	1567	1726	569	1445	628	2192	866	1836	905	1684	797	1047	581	849	838	1076	1844	535	1232	910
BIRC7	16	3	0	4	8	27	8	78	43	3	4	6	0	5	6	1	7	9	4	4
MIR3196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKAIN4	2	1	0	6	8	8	15	65	41	6	0	16	4	27	0	0	4	4	6	3
LOC124904950	2	0	0	3	2	4	4	41	23	0	0	7	0	20	1	1	6	4	1	2
FLJ16779	0	0	0	4	6	8	1	46	17	1	0	9	1	13	0	0	4	8	3	6
ARFGAP1	2956	2302	585	1312	882	2977	1428	2277	1255	2043	1032	1428	462	1652	912	1178	2236	738	3100	1507
MIR4326	1	0	0	0	0	0	2	1	0	2	1	1	0	0	1	1	0	0	1	0
COL20A1	0	0	0	1	0	1	0	2	3	1	2	2	0	3	2	0	12	1	23	11
CHRNA4	0	0	0	0	0	0	1	2	3	0	1	0	0	0	0	0	3	0	5	3
LOC100130587	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
LOC124904953	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNQ2	47	13	3	40	19	20	13	49	10	22	26	19	3	21	15	3	7	10	14	11
LOC105372724	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
LOC105372721	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0
KCNQ2-AS1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0
EEF1A2	25817	25121	7440	21478	7621	36498	10216	18839	9664	26371	11392	12126	7087	10296	8579	17411	5553	4016	3456	4833
LOC124904955	77	34	5	26	22	44	19	21	14	49	30	17	8	28	30	24	14	6	23	24
LOC105372725	6	2	0	0	1	3	1	3	5	1	2	1	0	2	1	5	1	1	1	2
LOC102723814	136	89	13	54	32	46	51	47	38	84	40	66	25	74	59	59	62	28	73	32
PPDPF	2373	4395	904	3129	1627	3899	1847	3556	2072	4914	1665	2057	940	2026	1168	2079	1661	1304	1200	1190
