	CAR_1	CAR_2	CAR_3	CAR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
NPTN-IT1	583	693	489	488	2227	1186	562	1795	977	1045	1010	737	1243	555	1618	1532	1138	1227	1038	530
LOC105370891	0	0	3	0	4	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0
CD276	2234	3026	2154	2498	3166	3597	1977	2206	1218	1554	1603	957	2017	845	2393	2303	928	1612	1349	578
INSYN1	125	187	137	147	407	211	137	451	149	112	119	74	335	92	323	367	110	123	162	80
INSYN1-AS1	0	0	7	0	1	1	0	4	0	5	0	1	3	1	3	2	0	1	0	1
LOC105370892	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723657	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D21	0	0	14	2	3	0	2	0	1	0	0	4	6	1	1	2	2	3	0	2
LOXL1-AS1	68	38	69	49	278	391	164	146	112	134	110	65	162	53	157	199	44	80	114	60
LOXL1	248	194	229	168	1313	1628	889	691	411	533	446	250	814	237	914	957	106	288	369	149
STOML1	95	66	107	76	460	398	226	459	214	235	221	92	254	64	242	360	143	259	118	104
PML	498	619	488	517	983	910	520	1446	373	596	554	397	590	168	667	837	311	665	327	195
GOLGA6A	0	0	6	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
LOC107987224	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMD4P2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ISLR2	0	3	30	3	1	25	15	1	0	3	7	2	1	0	4	3	0	6	0	2
LOC283731	0	0	10	1	2	3	1	0	0	4	1	1	0	0	0	2	0	0	0	0
LOC124903523	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISLR	7	4	26	17	437	745	410	87	40	738	864	266	176	1	20	353	34	825	3	70
STRA6	27	61	76	46	1115	526	280	649	315	347	379	410	286	75	312	92	323	434	157	18
CCDC33	0	0	45	2	5	21	5	0	0	4	7	4	0	1	3	0	2	6	0	0
LOC105370893	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903525	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP11A1	9	36	36	47	197	111	68	155	83	90	63	95	132	41	168	148	67	90	95	41
PPIAP46	0	2	5	5	3	3	4	8	2	2	2	1	2	1	4	8	2	1	4	1
LOC124903524	7	9	23	9	65	16	22	50	16	38	24	26	28	25	51	38	17	23	40	19
LINC02255	0	0	14	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0
SEMA7A	34	117	72	99	164	183	94	237	98	135	122	77	144	51	187	139	81	151	72	50
MIR6881	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBL7	331	361	360	253	1774	1089	626	1442	672	680	704	424	919	392	1387	1314	575	715	722	338
UBL7-DT	15	60	59	52	70	68	30	80	22	32	28	21	40	23	75	43	30	38	27	21
LOC124900366	0	0	1	0	4	0	1	0	2	2	3	2	2	0	6	2	0	0	0	0
LOC124903526	1	1	4	2	0	3	2	0	1	1	0	0	1	0	5	2	0	1	1	0
LOC102723714	0	3	4	4	1	4	3	0	0	3	0	3	3	3	4	1	2	0	2	0
LOC124903528	1	1	2	4	1	0	1	0	1	2	0	3	0	1	1	0	0	1	1	0
ARID3B	294	610	471	446	254	163	96	252	138	115	118	131	156	183	504	160	95	103	285	32
LOC124903527	59	84	119	57	35	32	11	35	12	14	10	21	28	26	54	34	11	15	45	11
LOC102723750	106	166	190	154	306	266	171	521	304	262	236	273	312	180	474	545	262	420	288	153
CLK3	916	1658	1136	1438	1593	919	527	1451	504	536	559	519	781	320	1143	1084	537	637	650	288
EDC3	870	842	776	712	1920	1241	743	1591	657	803	822	573	969	558	1663	1312	703	825	892	396
CYP1A1	0	12	12	10	17	7	3	26	8	4	5	0	11	16	39	5	49	2	35	0
CYP1A2	0	0	15	6	0	4	0	0	0	0	1	0	1	0	5	1	0	0	2	0
CSK	507	575	568	522	2541	1755	941	2106	836	886	738	540	1551	522	2052	1504	511	741	892	438
MIR4513	5	0	2	0	4	2	0	6	1	1	1	1	1	2	8	4	1	2	1	0
LMAN1L	1	11	16	11	1	4	2	38	19	13	13	2	7	0	2	13	8	7	1	3
CPLX3	3	6	12	11	11	34	14	6	8	6	4	5	10	1	3	16	10	10	0	0
LOC105370897	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULK3	347	686	411	533	2015	1154	673	2034	765	793	814	467	967	340	1418	1459	705	870	756	337
MIR6882	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
SCAMP2	1169	1214	981	998	2178	1545	865	1281	811	942	1049	559	1172	507	1809	1658	685	1020	930	395
MPI	146	154	175	109	1129	738	377	1018	427	463	443	563	550	278	970	775	384	429	505	218
FAM219B	217	193	223	164	1122	591	344	1341	455	429	399	277	513	265	804	983	406	462	401	219
COX5A	1159	1117	1222	947	10936	5518	3045	5622	2704	2819	2072	1751	4605	2862	7904	6530	2555	2098	5212	1877
RPP25	21	57	70	72	159	218	98	151	66	75	79	65	87	23	103	69	51	78	53	17
SCAMP5	290	495	528	381	760	716	408	631	307	318	321	246	450	153	405	434	299	357	257	106
PPCDC	97	142	101	147	246	229	136	259	91	112	117	71	121	29	167	196	71	102	102	50
LOC124903529	4	0	17	0	3	4	2	0	1	3	1	4	2	0	4	3	0	4	0	2
LOC124900369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124903530	3	0	6	0	7	5	1	0	0	2	3	5	4	1	1	2	0	3	2	3
LOC107984772	2	0	5	0	0	2	0	0	1	0	1	1	1	0	2	1	0	3	1	0
C15orf39	334	552	369	479	1963	1634	948	1454	694	997	876	770	1413	635	2028	2576	514	1117	968	622
LOC105376731	0	1	10	0	0	3	0	0	0	1	0	0	1	0	0	0	2	0	1	0
GOLGA6C	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
GOLGA6D	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMD4	429	333	368	253	1683	1127	700	2022	561	545	566	289	651	353	1267	1178	459	633	470	289
NEIL1	183	186	147	137	670	362	186	537	237	307	292	259	268	107	416	427	285	403	232	124
MIR631	3	2	5	5	37	9	4	34	8	8	10	9	9	2	18	19	6	16	5	5
MAN2C1	947	962	899	522	3617	2241	1151	5233	1702	1911	1868	1039	1854	717	2677	3172	1646	2322	1590	818
SIN3A	1649	1651	1426	1408	2675	1986	1140	2093	1020	1258	1029	958	1739	886	2256	2350	964	1190	1473	782
PTPN9	900	870	983	803	1472	1272	675	976	531	643	595	451	836	446	992	921	431	459	559	277
LOC105370902	11	6	18	4	4	5	3	0	4	6	6	3	7	1	4	5	6	5	2	0
SNUPN	182	253	229	222	592	478	239	456	191	249	161	161	247	115	338	337	161	216	230	93
IMP3	180	133	145	89	927	464	269	910	253	309	285	183	317	148	613	611	267	304	317	155
SNX33	379	664	490	546	731	762	490	765	339	561	543	395	551	130	355	669	321	666	211	190
CSPG4	1682	313	776	166	3081	2905	1705	4187	1814	2300	2095	795	2487	229	657	3153	1101	2336	358	821
ODF3L1	0	0	9	4	8	3	4	2	0	1	0	2	1	1	0	0	0	3	0	0
DNM1P35	0	4	11	4	7	7	4	4	1	8	3	4	1	3	3	2	1	3	4	1
LOC101929408	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
MIR4313	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6EP	1	7	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q2	1463	1710	1712	1271	4573	3395	1613	2867	1550	1649	1138	1054	2458	1600	3587	2629	1644	1522	2127	965
FBXO22	416	357	398	289	2387	1483	712	1706	731	841	644	567	1067	681	1549	1447	737	860	994	488
NRG4	5	8	19	5	41	24	14	9	13	9	13	16	14	18	42	25	14	10	31	12
TMEM266	11	8	34	7	14	4	7	14	16	7	6	3	8	5	15	13	5	7	7	5
LOC124903531	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929439	1	2	11	2	2	0	1	3	0	3	2	3	2	0	3	2	2	0	2	1
ETFA	1674	1106	1323	1020	8629	4766	2367	6772	2367	2443	1807	1278	3498	2152	5959	4892	2221	2013	3584	1467
TYRO3P	15	4	13	5	1	0	4	7	2	2	0	1	0	1	3	1	1	2	6	2
ISL2	0	1	4	0	2	9	0	7	1	0	0	0	4	0	0	1	0	0	1	0
LOC124903532	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAPER	511	744	680	622	1692	957	505	1266	553	618	468	476	836	446	1010	1058	635	549	678	420
MIR3713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RCN2	741	713	731	629	2575	2331	1153	3179	871	1057	627	531	1504	963	1885	1701	910	771	1312	621
LOC105370904	1	1	3	0	4	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0
PSTPIP1	6	8	36	7	11	7	10	8	3	3	4	8	11	2	21	10	6	10	6	3
TSPAN3	2954	2596	2347	1866	11489	7872	3944	9714	3142	3987	3396	2299	4838	2830	8286	7080	3217	3664	4712	2225
PEAK1	2293	3844	2645	3197	9419	8293	3770	9194	4868	5474	4407	2892	7894	3913	8524	9365	4247	4803	5894	3336
LINC00597	12	4	17	8	6	5	2	22	2	3	1	0	10	2	6	1	2	3	4	4
HMG20A	469	715	586	601	2788	2100	1078	2101	904	1099	929	911	1550	943	2196	1884	919	935	1614	718
LOC101929457	3	12	17	4	33	24	30	40	16	12	13	14	12	1	12	21	16	24	6	6
LOC105370906	0	1	9	1	10	2	2	6	2	6	5	4	3	0	0	8	0	2	0	1
LINGO1	25	132	147	87	119	69	49	20	46	62	57	154	62	17	72	45	23	58	36	13
LINGO1-AS1	0	1	11	0	3	0	2	0	1	3	0	22	0	0	0	0	2	2	0	1
LINGO1-AS2	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6FP	1	4	18	2	0	0	0	1	1	0	1	2	0	7	19	0	0	0	12	0
LOC124903533	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
COMMD4P1	0	0	23	0	0	0	0	0	0	1	0	2	1	5	17	1	0	0	9	0
LOC91450	1	5	11	3	7	4	3	3	2	3	1	3	2	0	10	3	2	3	3	2
TBC1D2B	180	276	251	234	685	1086	523	521	213	469	458	345	396	185	416	459	216	480	216	121
SH2D7	17	10	32	8	39	21	10	27	9	14	14	10	22	8	38	21	11	19	11	9
CIB2	280	216	282	149	3529	1726	1094	2454	1090	1207	1124	693	1433	701	2118	1953	780	976	1243	453
LOC124903534	7	25	28	33	44	35	20	30	22	16	23	18	21	24	47	33	25	27	33	8
IDH3A	964	1014	958	786	3491	1755	883	3455	1015	987	834	555	1764	1349	3196	2164	864	806	2210	639
ACSBG1	59	333	325	253	65	47	18	39	16	17	20	10	31	35	70	38	23	13	45	15
DNAJA4-DT	2	3	4	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0
DNAJA4	5093	4140	4505	3197	5505	3148	1411	3804	1487	2041	1712	851	2368	665	1545	3298	1294	1484	989	956
LOC105370910	217	157	253	135	262	156	65	100	65	119	94	74	84	35	117	152	73	108	90	49
SKIC8	627	541	537	430	1649	1170	612	1245	496	643	578	341	652	364	1033	939	485	556	553	293
CRABP1	1	4	4	6	5	27	27	8	3	18	8	2	2	1	5	1	0	12	4	1
LOC105370912	0	0	10	2	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0
IREB2	2535	2950	3005	2465	5729	4442	2287	5045	2086	2538	1853	1865	3527	2445	4631	4393	2232	2197	3404	1595
HYKK	9	17	29	18	82	72	31	32	18	40	41	25	56	27	79	53	23	42	41	22
PSMA4	2922	1961	2543	1523	5312	3245	1638	2845	1236	1606	1136	843	1891	1275	3185	2989	1388	1327	1970	1022
CHRNA5	131	243	259	234	119	124	69	89	30	40	33	23	61	28	42	63	32	43	24	24
CHRNA3	313	266	459	249	379	959	387	243	125	374	244	167	191	17	30	71	162	338	24	24
CHRNB4	62	169	174	151	9	23	13	12	6	27	20	8	9	2	3	8	1	22	0	1
LOC105370913	27	48	31	27	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC646938	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
LOC112268143	1	0	1	0	0	0	0	1	0	0	0	0	2	1	9	1	1	1	1	0
ADAMTS7	138	279	291	129	464	789	469	1137	383	403	484	230	812	79	334	777	347	722	126	191
TRK-CTT1-2	0	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
LOC124903535	2	13	15	3	2	1	0	3	1	2	0	2	4	2	1	1	1	2	2	0
MORF4L1	3941	3733	4276	2711	20621	13657	6940	14258	5892	8146	5933	4907	9504	5534	13464	12168	6352	6379	8048	4070
CTSH	48	132	108	139	97	965	463	87	53	75	47	66	46	78	186	94	49	60	170	50
RASGRF1	6	59	55	56	5	283	86	22	14	6	12	5	5	4	8	2	13	9	6	0
LOC100129540	2	6	9	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370917	1	3	16	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC107984750	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD34C-AS1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0
MIR184	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD34C	1	7	18	4	138	78	27	46	28	20	2	38	59	34	63	23	81	24	53	12
TMED3	426	612	437	497	1808	1269	705	1136	444	612	600	415	710	309	1122	884	356	568	588	233
MINAR1	20	58	66	43	76	87	33	63	17	56	52	15	40	25	63	34	33	42	51	18
LOC105370918	3	5	22	4	6	10	4	5	5	7	8	5	4	3	12	9	4	7	4	5
LOC105370919	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRC-GCA5-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903536	35	35	98	14	69	60	24	69	43	55	36	15	44	35	74	63	58	55	60	26
ST20-MTHFS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFS	6	5	4	3	31	17	1	31	12	6	7	4	8	2	35	21	5	12	12	2
ST20	9	17	11	23	114	62	40	129	23	35	21	24	44	16	65	38	28	31	37	17
ST20-AS1	32	13	34	14	176	96	53	181	67	88	52	43	96	30	147	123	69	70	78	20
BCL2A1	1	7	7	8	8	17	10	5	4	2	2	3	4	1	0	0	2	4	0	0
ZFAND6	1421	1895	1423	1414	4750	3204	1571	3542	1509	1979	1502	1201	2310	1348	3437	2785	1850	1728	2116	985
FAH	394	472	490	422	348	384	209	207	110	140	162	116	184	111	247	184	84	143	199	63
CTXND1	11	31	39	30	13	5	9	3	7	3	1	7	11	3	10	9	3	6	4	5
LINC00927	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNT2-DT	2	1	12	3	9	28	5	28	7	11	10	10	16	3	13	13	9	10	7	6
ARNT2	189	175	218	154	599	1227	573	886	347	497	486	235	676	285	830	933	345	484	504	330
LOC124903537	19	3	88	11	4	13	6	11	8	11	5	1	8	0	0	1	2	3	7	0
LOC101929586	4	0	9	0	0	2	1	0	0	2	0	2	1	0	1	3	0	0	2	0
LOC124903538	4	1	18	2	2	12	3	19	6	4	6	1	6	9	3	6	2	8	9	4
MIR5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	46	149	51	123	193	204	119	166	76	81	65	55	156	110	274	189	68	59	193	85
CEMIP	117	113	154	181	309	692	387	612	180	409	384	315	1542	96	278	1784	269	490	158	712
LOC124903539	2	0	5	0	2	4	1	0	2	3	0	5	3	0	2	0	1	1	1	1
MIR549A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MESD	693	873	638	690	2640	1946	944	2166	785	983	741	571	1322	863	2332	1961	699	777	1368	568
MIR4514	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
TLNRD1	137	24	103	23	1141	1354	627	1425	493	545	374	271	1057	377	1302	1095	313	344	787	270
LOC128071545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903540	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP161	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
IL16	1	22	46	35	6	15	12	5	3	5	5	0	4	3	3	26	2	1	4	6
STARD5	1	2	5	10	19	27	8	10	10	6	15	8	7	0	4	16	3	13	3	3
TMC3-AS1	0	0	3	0	0	0	3	5	0	0	1	2	3	3	3	4	1	1	0	0
TMC3	0	2	27	5	7	22	14	4	1	3	2	4	1	2	2	0	1	3	5	0
LOC102723985	37	23	136	30	150	259	196	236	149	297	239	267	118	24	70	139	219	330	53	72
LOC105370921	2	1	8	1	3	2	6	7	2	14	5	6	3	0	3	1	8	7	5	0
LOC124903541	53	8	76	10	44	48	37	72	18	104	38	59	31	8	15	43	58	95	7	19
LINC01418	31	10	70	16	70	86	41	137	52	130	74	70	73	17	56	155	78	125	41	28
LOC105370922	9	0	12	0	1	1	1	5	1	6	2	3	5	2	0	4	11	1	1	5
LOC105370923	0	0	13	0	4	1	0	1	2	1	2	1	1	0	0	0	1	3	0	0
MEX3B	102	167	103	114	585	736	316	576	257	389	320	120	569	137	455	483	263	311	240	143
LINC01583	1	5	14	6	1	9	4	2	1	1	0	0	4	4	0	1	2	3	0	0
LOC105370924	0	1	4	0	4	3	2	0	0	1	0	1	1	0	0	0	1	0	1	0
EFL1	427	501	486	397	1840	996	553	1375	489	608	444	416	708	390	1041	948	481	510	673	318
SAXO2	20	49	19	38	53	20	19	34	23	22	25	33	38	23	52	26	20	33	26	13
ADAMTS7P1	1	10	20	3	5	9	3	16	3	5	1	2	3	0	1	6	2	9	0	1
GOLGA6L10	54	83	97	74	122	92	48	91	49	45	37	69	57	31	80	99	41	54	66	23
UBE2Q2P2	110	134	114	86	161	103	45	298	82	79	62	92	92	70	189	137	110	98	115	37
GOLGA6L9	441	557	549	485	844	567	328	668	376	348	361	527	393	332	881	513	401	383	607	233
LOC102724034	0	0	2	0	0	0	0	0	1	1	1	2	0	0	3	1	2	0	0	1
GOLGA2P10	246	239	290	147	507	401	188	638	259	276	256	250	291	133	425	493	184	280	240	101
LOC105370926	3	0	2	3	1	1	0	0	1	3	0	3	1	0	1	2	0	0	1	0
GOLGA6L17P	2	2	6	4	4	3	2	2	1	1	0	4	1	2	4	3	0	2	5	2
RPS17	4386	3978	4473	3308	24233	14335	6999	8358	6153	8833	6231	4913	8324	4715	18326	13354	5015	6882	10072	3270
CPEB1	254	364	289	303	42	147	70	77	23	30	55	25	24	4	20	40	25	65	10	12
CPEB1-AS1	2	2	5	2	0	2	0	0	0	0	2	1	1	0	0	0	0	4	0	0
AP3B2	37	58	94	33	11	31	11	11	5	8	39	5	5	1	10	10	1	72	1	2
LOC338963	0	2	10	0	2	1	0	0	1	3	0	1	0	0	1	1	1	1	0	0
ACTG1P17	1	4	15	6	4	5	3	4	4	6	3	9	1	4	2	1	2	5	8	3
SNHG21	21	16	16	13	51	24	12	31	18	23	21	14	20	7	56	18	17	16	19	13
FSD2	77	108	84	138	5150	3063	1550	3645	1829	2154	1879	1675	2990	1851	4933	5155	2535	2490	3684	1734
SCARNA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHAMM	636	905	833	780	838	555	274	605	242	317	286	197	403	174	530	539	269	320	304	148
HOMER2	269	396	313	320	621	1085	519	666	233	288	258	231	364	166	551	523	289	313	265	152
LOC105370928	0	1	2	3	0	3	0	4	0	0	1	0	0	0	0	0	0	0	0	0
RAMAC	66	115	77	73	229	139	79	89	59	70	43	45	74	55	139	92	58	65	90	25
C15orf40	170	182	220	141	675	480	241	381	202	303	294	237	279	179	524	442	233	370	292	150
LOC124903542	12	14	23	12	23	12	16	27	14	19	9	11	17	5	25	24	19	21	19	11
BTBD1	1976	2027	2308	1626	10025	6277	2938	6773	2817	3412	2240	2183	5178	3138	6658	5704	3089	2624	4802	2128
MIR4515	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0
LOC124903543	15	21	41	16	36	54	20	38	15	25	18	26	27	11	41	39	31	35	27	20
TM6SF1	9	9	32	20	67	96	38	55	31	36	27	17	48	11	25	48	32	28	19	15
HDGFL3	1197	934	1311	832	4044	3749	1839	2366	1308	1787	1186	1134	2451	1582	3486	3071	1258	1393	2244	1114
BNC1	9	39	91	40	46	335	119	20	9	38	30	19	20	134	218	74	8	41	178	29
LOC105370932	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105370933	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370934	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SH3GL3	247	305	262	359	2296	1713	949	2024	814	706	542	455	1221	1085	2952	1624	781	562	2009	639
ADAMTSL3	24	67	73	90	59	308	112	139	48	54	48	45	164	18	51	115	53	35	48	37
LOC105370935	2	0	81	2	3	5	1	4	0	0	0	1	2	0	1	5	0	5	1	1
EFL1P1	6	1	10	2	7	5	3	7	5	3	3	4	5	2	3	9	2	5	4	0
DNM1P41	6	7	12	3	11	5	7	21	5	10	6	16	22	0	4	16	7	11	1	1
LOC124903544	3	1	1	0	2	0	1	1	2	0	1	0	0	0	0	2	0	1	0	2
UBE2Q2P16	6	6	3	6	26	19	8	18	12	13	24	5	17	4	6	23	17	17	3	6
LOC440300	5	7	9	4	18	15	7	41	13	22	22	9	23	3	7	35	18	31	7	13
GOLGA2P7	28	20	26	16	61	22	19	36	20	21	20	20	27	1	0	53	21	31	2	7
LOC105376724	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0
GOLGA6L4	30	60	71	42	79	54	39	46	25	25	23	41	53	15	59	49	29	46	51	26
LOC105370936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376722	10	16	35	7	214	123	59	189	93	107	103	104	125	121	308	235	102	137	272	62
LOC103171574	0	1	2	1	0	1	0	2	0	0	0	0	1	1	0	0	2	1	0	0
LOC102724117	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724135	15	14	20	10	22	15	5	25	20	27	18	13	15	9	21	30	16	22	21	10
LOC105370946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L5P	11	20	25	17	23	23	19	9	11	18	19	19	32	31	79	27	15	29	52	17
UBE2Q2P1	137	88	126	76	159	124	45	244	79	102	77	39	83	59	179	108	90	115	130	42
LINC00933	2	2	8	4	9	6	6	0	4	9	0	0	8	5	13	10	8	10	9	2
ZSCAN2	176	257	253	215	838	478	257	621	214	288	262	243	437	248	589	644	259	256	423	184
LOC105370947	3	1	8	0	1	0	1	3	0	0	2	3	1	2	6	4	2	1	1	3
SCAND2P	44	78	74	55	161	67	51	165	63	85	61	100	77	38	133	107	57	98	67	37
WDR73	582	475	596	453	1586	1071	567	1380	550	568	575	625	701	349	1046	1074	528	611	543	308
NMB	36	62	62	53	192	79	47	57	37	37	56	52	44	26	55	49	41	47	34	6
SEC11A	1200	995	1029	789	3737	2690	1438	2997	872	1234	1060	773	1435	890	2089	1860	901	985	1234	586
ZNF592	731	568	820	513	2746	1847	912	1687	937	1082	1000	711	1589	808	2092	1999	993	1124	1378	564
ALPK3	6069	6553	6132	4786	39596	23936	11947	32579	15619	17539	14838	10131	22899	13597	37356	30227	17530	17739	25845	8862
SLC28A1	97	106	163	123	138	38	20	47	34	39	41	33	44	16	85	62	51	47	52	18
PDE8A	963	1035	1136	888	1200	891	411	730	367	426	410	403	562	218	611	708	335	449	417	233
LOC124903545	9	6	10	9	5	3	2	1	2	0	1	1	2	2	2	3	4	3	2	2
LOC727751	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	4	0
LOC101929479	20	27	14	19	31	25	14	59	24	17	20	14	16	1	9	21	25	33	3	3
LOC105370948	1	1	2	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
GOLGA6L3P	0	1	9	0	6	0	0	3	1	4	2	1	3	0	2	3	0	2	4	0
MIR7706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP13	3918	5145	4406	4004	35439	20979	11156	33444	13123	11649	9693	6839	21882	10951	28631	28322	13724	12401	20140	9789
LOC124903546	32	6	8	2	22	6	10	44	4	18	3	8	13	8	11	8	15	9	14	5
LINC02883	13	9	14	6	8	9	6	17	11	6	12	4	12	7	6	16	4	14	9	5
KLHL25	561	471	593	424	1099	451	328	828	351	429	440	257	577	261	995	895	248	437	395	204
MIR1276	3	0	5	1	1	0	0	4	0	1	1	1	2	2	3	0	1	0	1	1
MIR548AP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370952	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370953	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1	3	6	91	20	5	7	0	3	1	1	5	0	1	5	4	4	2	4	0	0
LINC01584	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370954	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724452	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370955	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984735	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105370956	0	3	19	5	8	5	1	20	1	4	0	1	3	6	6	0	5	1	8	0
LOC102724465	0	2	4	0	1	1	0	2	2	0	0	0	3	1	0	0	0	4	0	0
LINC00052	1	0	9	1	4	2	3	4	1	0	0	0	1	2	4	0	0	0	0	0
LOC124903579	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903580	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTRK3	4	4	136	6	38	58	42	40	29	70	46	14	57	5	28	35	27	103	1	7
MIR11181	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NTRK3-AS1	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105370957	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370958	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105370959	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL46	415	407	381	312	1507	780	384	1168	409	359	350	208	544	371	1009	842	409	320	688	249
MRPS11	412	382	440	342	1873	1112	579	1092	539	532	522	277	778	450	1331	1201	503	544	790	330
DET1	56	92	60	78	482	269	162	212	178	281	210	143	257	112	374	369	190	223	234	114
