	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	DAU_1	DAU_2	DAU_3	DAU_4	GEF_1	GEF_2	GEF_3	GEF_4
ZNF627	241	540	660	705	354	578	351	273	787	261	430	306	379	508	338	195	261	314	447	227
HNRNPA1P10	3	3	8	4	2	1	5	3	6	3	4	3	29	37	11	11	5	4	1	6
ZNF833P	10	26	33	27	26	22	16	13	43	9	14	12	83	139	47	26	7	16	17	6
ZNF823	44	125	131	168	77	102	61	26	205	42	100	61	74	144	72	24	55	65	80	45
ZNF441	150	316	414	392	152	366	213	163	389	166	260	222	468	598	517	92	211	291	346	139
LOC124904639	1	6	1	4	1	2	1	1	0	0	1	0	18	5	9	2	0	7	2	0
ZNF491	37	136	123	87	62	123	83	38	136	79	74	37	100	76	107	51	64	87	74	55
ZNF440	126	269	349	371	184	230	157	110	609	158	266	198	589	643	299	287	115	148	269	116
ZNF439	136	389	432	435	207	293	202	133	651	201	279	187	103	171	96	42	161	168	310	128
ZNF69	187	374	484	372	233	433	185	172	685	202	376	265	72	85	123	61	168	193	306	116
ZNF700	179	462	530	611	305	348	227	172	772	259	396	253	560	636	276	144	168	189	357	176
ZNF763	29	92	114	106	41	157	43	49	135	44	65	46	277	233	186	61	40	65	71	17
ZNF433-AS1	51	88	113	100	51	152	59	38	167	22	66	40	93	105	80	67	47	46	53	29
ZNF433	72	131	133	181	82	162	113	66	219	87	112	83	327	409	189	77	61	73	117	71
ZNF878	6	22	12	18	13	11	13	15	41	10	17	12	78	103	49	43	14	8	13	8
ZNF844	222	540	599	448	273	571	360	333	790	426	437	346	1583	1220	1304	1081	293	499	375	215
ZNF788P	96	291	299	284	133	304	154	119	329	141	183	118	317	272	216	165	72	132	212	100
ZNF625-ZNF20	3	17	21	20	10	11	6	10	31	8	11	8	12	20	4	6	6	9	13	4
ZNF20	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
ZNF625	35	84	136	109	57	77	38	38	146	41	90	54	86	148	70	30	25	47	89	43
ZNF136	81	164	208	312	130	258	119	96	379	118	140	101	241	220	231	96	99	128	147	76
LOC100289333	17	37	44	29	11	30	26	15	29	22	37	10	45	79	54	60	21	24	37	14
ZNF44	370	925	1062	836	485	842	533	446	1518	475	788	468	586	1041	598	300	463	528	837	382
ZNF563	52	94	40	67	49	119	38	51	108	43	54	15	155	176	95	56	27	59	38	31
ZNF442	17	40	44	43	31	63	24	22	52	21	40	25	159	182	143	41	25	25	25	19
ZNF799	24	58	69	67	42	51	34	33	108	30	35	27	84	155	60	35	30	32	35	27
ZNF443	32	106	94	93	48	66	42	38	150	44	73	50	64	166	50	25	53	46	67	43
ZNF709	61	184	170	182	85	150	92	76	270	73	122	102	60	103	63	26	67	73	134	56
ZNF564	119	290	325	360	172	289	179	120	549	102	194	148	350	285	188	108	146	171	216	113
LINC02926	13	12	8	11	8	5	7	12	10	13	9	5	26	34	16	15	8	13	8	5
ZNF490	88	259	270	234	136	208	147	134	362	157	214	116	404	556	183	176	86	165	167	86
ZNF791	307	761	774	958	446	763	445	321	1188	365	623	376	889	1361	640	520	344	473	630	309
LOC105372279	4	9	7	6	9	6	15	5	8	2	10	8	13	31	17	7	3	7	2	7
MAN2B1	593	1302	1355	1562	809	1496	738	803	1652	336	1022	403	783	926	437	500	402	715	783	319
WDR83	150	331	257	279	138	466	191	189	437	107	202	74	368	754	155	429	132	197	167	64
WDR83OS	610	1131	1175	1046	624	688	681	738	1710	338	754	320	694	826	547	704	484	665	611	276
DHPS	449	828	1015	833	442	915	495	485	1140	243	599	248	479	773	279	705	421	438	632	212
GNG14	0	0	0	1	0	0	1	3	1	0	0	0	36	57	17	46	3	2	1	2
FBXW9	122	231	253	182	117	279	121	136	310	58	144	52	261	432	128	366	72	138	104	34
TNPO2	1721	3320	3666	3282	1826	3529	1968	2045	4357	1233	2506	1113	2834	2898	1902	3064	1548	2006	2097	889
SNORD135	2	3	1	1	1	7	4	3	2	1	2	3	0	0	1	3	2	5	2	0
SNORD41	0	0	3	0	0	3	1	2	3	0	0	0	2	2	2	1	1	0	2	0
TRIR	1095	2474	2353	2246	1250	2628	1426	1115	3728	743	1871	512	1427	927	940	1280	838	1269	1750	655
GET3	764	1678	1589	1612	878	1572	851	1006	2500	415	1153	443	2028	1955	859	1391	661	933	769	430
BEST2	2	2	0	9	0	6	2	1	2	1	2	1	43	54	22	25	2	5	0	1
HOOK2	755	1051	1484	1261	591	2142	763	605	1904	445	881	374	1505	1032	825	969	728	942	943	322
MIR5684	0	0	1	0	0	0	0	2	2	0	0	0	6	6	7	6	0	1	0	0
JUNB	163	289	291	754	264	484	244	214	644	383	305	81	910	570	851	1225	124	260	136	61
PRDX2	5250	10010	13616	7996	4487	13059	4915	4747	15236	2986	7634	3866	1776	3107	1412	1996	4198	4562	7935	2574
THSD8	1	3	1	0	0	5	0	0	2	0	1	0	23	8	0	5	0	0	0	0
RNASEH2A	235	582	606	566	384	854	256	235	611	145	334	161	350	282	51	135	128	154	265	110
RTBDN	0	0	0	0	0	0	0	1	2	0	0	0	7	7	1	3	0	0	0	0
LOC105372281	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0
MAST1	23	26	111	112	56	57	21	13	48	23	39	34	24	77	15	35	8	19	90	4
MIR6794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNASE2	305	559	425	711	396	572	361	334	678	211	422	130	510	437	190	126	263	408	219	124
KLF1	1	0	0	0	0	3	0	0	0	0	0	0	3	17	0	1	0	0	0	0
GCDH	344	651	634	480	267	917	328	333	756	147	461	204	279	430	142	207	190	323	347	165
SYCE2	34	91	68	55	22	61	29	34	63	22	35	24	34	52	15	19	23	26	45	21
MIR5695	0	0	0	0	1	0	0	0	0	0	0	2	2	5	1	1	0	0	0	0
FARSA	663	1327	1386	1300	732	1515	720	676	1849	412	854	379	537	284	512	651	491	684	829	313
FARSA-AS1	3	3	2	1	4	1	3	1	2	2	2	0	3	22	7	12	3	4	2	0
CALR	6507	19539	17630	22351	10570	16044	10252	8466	19740	6740	15845	5857	3900	3936	5352	3208	5189	8243	11585	6205
MIR6515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD23A	1024	2303	2339	2180	1062	2738	1069	891	2445	644	1630	737	528	363	558	480	680	977	1369	607
GADD45GIP1	509	1073	1182	920	446	1644	508	316	1554	296	735	240	328	189	316	269	330	471	568	198
DAND5	21	55	52	37	28	93	23	30	46	22	61	14	1	5	4	2	17	39	32	22
NFIX	163	686	280	1034	579	371	524	405	322	232	564	117	164	270	118	142	180	441	260	204
LOC107985286	1	1	0	0	2	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0
LYL1	20	27	37	42	10	49	12	15	48	13	23	6	1	0	4	1	5	6	10	5
LOC105372282	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
TRMT1	354	813	1009	786	432	1036	424	479	895	252	525	267	873	873	471	765	322	522	519	202
NACC1	963	2026	2085	1854	1017	1838	1010	1061	2193	547	1546	652	1992	2078	1401	2364	608	870	1168	394
STX10	266	595	590	642	376	877	347	318	858	234	392	136	281	354	176	299	251	400	284	157
IER2	449	642	778	1073	520	1119	502	395	1153	877	653	196	497	802	805	920	372	455	334	163
CACNA1A	14	37	3	44	31	21	57	48	45	59	18	1	22	18	28	16	15	45	2	5
LOC107985287	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
LOC105372284	0	0	0	0	0	0	0	0	0	0	0	0	4	5	6	2	0	1	0	0
YJU2B	467	915	869	787	402	1138	533	483	1291	358	576	228	506	440	460	597	420	612	503	232
MRI1	326	799	872	658	379	723	455	392	984	333	419	227	256	412	227	233	411	506	431	208
C19orf53	599	1277	1227	1323	697	1290	681	611	1682	368	805	363	690	706	496	700	457	729	839	287
ZSWIM4	146	287	367	356	181	276	155	201	390	177	250	124	633	875	409	1520	81	176	160	56
LOC107985334	6	19	14	9	8	8	12	6	31	13	9	2	7	5	5	9	6	7	8	11
MIR23AHG	291	406	436	697	266	433	292	315	823	112	373	134	90	46	422	285	307	370	293	130
MIR24-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR27A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS3	18	40	20	36	18	48	9	16	27	9	25	5	11	18	5	8	7	25	10	8
MIR181C	0	3	3	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0
MIR181D	2	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	3	0	3	0
BRME1	25	65	67	61	36	65	38	28	66	50	39	8	67	54	22	34	28	42	28	21
CC2D1A	509	1151	1103	978	648	1257	630	539	1365	418	910	312	352	185	296	445	403	671	701	250
PODNL1	8	15	8	88	52	11	34	41	26	32	17	1	75	54	19	29	5	24	5	1
DCAF15	337	718	806	652	422	755	358	375	936	198	491	209	744	1228	348	845	272	373	361	178
RFX1	262	649	571	455	271	524	346	344	760	218	486	154	338	533	201	574	216	369	291	125
RLN3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	3	1	0	0	0
IL27RA	27	56	37	119	95	58	64	66	59	34	57	6	42	64	46	24	12	59	20	11
PALM3	6	6	17	27	8	16	7	8	18	2	13	8	32	78	8	10	1	10	17	3
MISP3	19	43	34	30	13	53	30	22	71	25	36	7	32	58	28	27	24	25	23	15
MIR1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf67	4	2	0	1	1	0	1	0	3	11	3	0	5	13	6	3	3	4	0	0
SAMD1	561	1039	1116	1151	639	960	585	582	1646	440	975	290	682	779	517	600	358	530	679	309
PRKACA	4191	10695	8250	8999	4956	6580	5072	4329	10626	2717	7389	2899	3609	4364	3468	2412	3336	3821	5876	3040
SMIM46	3	10	7	6	1	7	1	3	3	0	4	3	0	1	1	1	2	3	2	0
LOC124904642	4	5	3	4	5	4	3	3	4	2	1	4	6	17	6	9	1	3	0	1
ASF1B	161	558	439	403	310	333	162	257	425	76	317	122	2010	2338	477	1606	87	107	169	96
ADGRL1-AS1	81	124	72	63	47	73	90	62	89	68	88	26	56	59	84	89	70	109	68	29
ADGRL1	761	1796	1606	1393	875	1572	1013	999	2267	797	1495	485	1443	1243	962	1357	705	1057	1013	489
LINC01841	0	3	2	3	2	0	1	2	2	1	2	0	1	0	0	1	0	1	1	0
LINC01842	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ADGRE5	48	139	40	90	57	96	96	110	88	39	119	3	16	30	73	48	33	98	23	33
DDX39A	616	1526	1395	1371	760	1763	645	589	2296	322	1040	377	1366	630	626	1741	495	647	801	348
PKN1	1404	3711	3566	3459	1790	4778	1571	1411	4278	1199	2792	947	288	486	574	385	1196	1524	2248	1008
PTGER1	1	2	0	0	5	5	1	0	3	2	3	1	5	2	2	1	2	1	1	1
GIPC1	1292	2590	2856	2963	1543	3217	1343	1132	3455	667	1889	732	288	298	387	287	996	1277	1653	615
DNAJB1	1040	1906	2090	2363	1281	2053	1366	1165	3171	622	1522	678	617	639	751	599	907	1140	1196	596
TECR	723	1656	1807	1611	752	985	972	948	1856	440	1029	521	707	725	362	618	633	939	1099	383
MIR639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB7	1077	2371	2563	1508	850	3717	949	957	3082	537	1235	482	257	253	429	462	721	1083	1049	453
CLEC17A	1	2	0	2	1	0	1	2	0	2	1	0	6	17	9	5	4	1	0	1
ADGRE3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0
SNORA104	202	422	433	731	267	268	230	186	786	119	315	189	226	293	167	113	176	140	284	159
ZNF333	266	570	555	528	240	581	341	342	655	336	375	212	606	437	570	418	336	445	387	172
ADGRE2	1	2	0	3	3	11	2	5	4	2	1	0	15	10	2	4	1	1	0	0
OR7C1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0
OR7A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
OR7A10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OR7A17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OR7C2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
SLC1A6	1	2	1	13	10	0	1	2	3	0	2	0	6	10	9	7	0	2	0	0
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0
CASP14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
OR1I1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	1	1	0	0	0
SYDE1	866	1938	1824	1757	902	2162	968	911	2230	548	1356	486	49	56	234	80	569	777	898	496
ILVBL	858	2097	1909	1423	764	2582	832	932	2301	651	1214	477	220	610	283	294	874	1200	1042	536
NOTCH3	189	386	623	1175	838	510	585	541	730	520	536	184	182	288	103	108	144	523	300	70
MIR6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHX3	11	21	8	12	6	12	15	16	28	10	10	8	9	9	5	8	6	12	9	9
BRD4	1456	3877	3863	3504	1716	2553	1955	1848	4210	1434	3191	1311	2548	1529	1449	2591	1304	1808	2470	1064
LOC124904643	4	5	3	8	5	4	6	7	11	3	9	2	40	18	30	36	2	13	9	6
AKAP8	441	1012	1085	1031	469	1003	635	499	1554	361	668	353	1201	1152	767	881	453	603	615	272
AKAP8L	1913	4295	3818	3541	1735	5207	2359	2077	5820	1585	2601	995	1863	1015	1486	2101	1945	2870	2459	1304
WIZ	1159	2506	2412	2028	1067	2252	1414	1356	2679	900	1818	629	1809	1649	1215	2049	1025	1656	1224	608
MIR1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASAL3	0	3	2	2	1	4	1	0	3	1	2	0	7	10	3	2	1	4	0	0
PGLYRP2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0
LOC124904644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
CYP4F3	0	0	0	0	0	0	0	0	2	0	0	0	5	1	2	7	0	0	1	0
CYP4F12	0	0	0	0	0	2	0	2	0	0	0	1	6	0	3	3	0	0	1	0
OR10H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CYP4F24P	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	2	0	0	0	0
OR10H5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
OR10H1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124900418	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
UCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4OP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP4F2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
CYP4F11	0	1	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
OR10H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105372291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00661	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0
LINC00905	0	0	0	0	0	0	0	0	0	1	0	0	1	4	1	3	0	0	0	0
LINC01855	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TPM4	2579	4543	4239	12990	6376	7199	4531	3590	9651	2595	4712	1586	1277	1636	1237	578	1878	3079	2810	1310
RAB8A	495	939	1144	1229	640	762	556	514	1477	406	791	377	376	296	286	297	414	411	716	265
HSH2D	0	3	2	0	0	4	0	1	0	0	0	1	5	6	3	2	0	0	0	0
CIB3	0	1	0	1	0	4	0	1	2	0	0	1	9	11	4	2	0	1	0	0
FAM32A	128	246	319	279	136	425	162	85	429	66	170	85	148	258	133	137	111	144	205	54
LOC124904646	8	10	12	15	5	11	5	4	16	7	14	2	10	38	7	18	12	14	10	4
AP1M1	941	2118	2108	2078	1057	1501	1186	1000	2641	666	1580	675	854	386	658	668	737	1003	1155	548
KLF2	57	193	96	183	91	175	96	91	223	77	101	42	75	62	73	100	38	72	68	57
EPS15L1	763	1726	1688	1624	792	1582	995	882	2050	677	1290	570	845	741	673	663	749	944	1101	481
CALR3	1	0	0	0	0	0	0	0	5	0	0	0	1	7	2	2	0	1	1	0
C19orf44	146	229	215	192	119	315	196	164	323	110	184	67	46	53	69	55	134	200	125	70
CHERP	555	1164	1193	975	625	1254	638	624	1208	427	919	357	740	1058	530	1082	413	625	702	293
SLC35E1	701	1552	1793	2003	975	1437	900	889	2541	843	1305	625	1441	1512	953	1423	651	789	1164	484
LOC105372295	12	17	21	21	4	16	9	8	27	10	20	3	25	33	14	56	11	14	11	4
MED26	151	308	330	344	126	224	152	149	399	97	187	73	377	786	266	493	118	164	179	73
LOC105372296	5	4	7	8	4	7	4	3	3	1	8	2	21	50	9	28	3	7	3	0
SMIM7	555	1184	1344	1298	616	1901	761	687	1836	400	828	400	421	422	423	369	581	695	715	377
LOC124904647	22	41	27	34	13	20	29	43	41	10	26	18	8	8	8	18	15	28	29	6
TMEM38A	159	305	522	231	138	214	145	156	595	162	206	189	411	668	109	232	142	149	361	76
NWD1	1	0	0	3	1	1	1	2	2	1	0	0	20	67	8	13	1	3	0	1
LOC124904648	2	0	0	0	0	0	1	0	4	1	2	0	5	13	3	3	1	0	0	1
SIN3B	1268	2313	2465	1871	1157	3147	1441	1364	2957	928	1739	667	439	445	726	647	1170	1493	1338	579
F2RL3	11	3	2	9	8	18	2	3	13	2	13	2	3	1	7	1	2	4	4	1
CPAMD8	78	32	64	673	414	160	128	109	112	32	74	18	69	102	33	25	64	122	36	10
HAUS8	89	263	256	249	128	305	109	107	370	57	119	65	372	589	131	242	62	114	130	52
MYO9B	2129	4970	3838	4356	2465	5762	2955	2679	5117	1841	3583	1123	3110	2535	1993	3338	2211	3474	2264	1341
SNORA118	0	1	3	1	0	1	0	0	1	1	0	0	2	2	1	0	1	3	2	2
USE1	237	545	482	528	253	860	283	300	766	149	361	105	141	145	151	176	193	272	286	130
OCEL1	38	133	122	121	71	111	72	68	214	62	106	29	52	61	27	39	59	86	81	32
NR2F6	567	1313	1448	1253	637	1231	688	499	1965	469	962	337	618	735	335	378	460	596	734	290
USHBP1	0	1	0	0	0	0	0	1	3	1	0	0	121	130	34	18	0	7	0	0
BABAM1	1076	2313	2296	2126	1148	2651	1383	1170	3367	682	1475	643	1126	857	830	742	915	1276	1346	570
ANKLE1	28	65	56	52	24	73	25	30	86	17	41	7	45	75	32	43	28	43	23	16
ABHD8	128	346	245	236	130	353	184	158	366	104	211	46	23	61	57	68	132	183	139	84
MRPL34	499	1017	1121	750	380	1117	490	366	1891	307	727	280	286	229	288	388	383	447	611	250
DDA1	711	1472	1457	1601	781	1443	770	758	1926	367	1046	384	614	556	527	833	630	719	784	414
ANO8	421	830	828	513	298	1024	441	401	773	294	494	197	112	201	122	185	388	519	507	181
GTPBP3	192	409	431	369	217	524	213	208	444	186	261	98	54	99	62	67	147	263	188	100
PLVAP	6	2	11	4	1	0	2	1	7	7	2	4	9	31	4	3	0	7	2	0
LOC105372298	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0
CCDC194	4	1	0	5	5	37	14	7	3	13	3	1	5	18	9	1	4	5	0	1
BST2	94	65	14	331	204	1554	226	151	319	182	89	5	117	138	150	26	103	203	10	28
BISPR	8	4	4	11	4	35	9	5	17	8	13	3	2	6	6	9	5	11	2	4
MVB12A	232	463	456	412	268	572	261	236	582	186	291	96	38	24	72	92	175	301	211	101
TMEM221	5	6	9	15	11	6	13	12	14	10	11	0	1	24	3	4	4	8	5	3
NXNL1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	9	0	0	1	0
SLC27A1	346	771	693	530	294	620	378	456	723	290	537	209	436	461	216	440	288	508	384	161
PGLS-DT	7	22	17	17	8	30	13	6	24	7	15	1	35	26	12	39	1	15	19	6
PGLS	245	478	483	715	367	765	291	293	747	255	344	120	243	120	197	201	182	320	255	128
NIBAN3	3	0	2	13	4	3	1	8	5	6	4	0	24	31	12	32	1	3	2	3
COLGALT1	1444	2923	2656	3520	1869	3210	1723	1805	4209	1109	2292	952	2154	2845	1011	1841	877	1359	1331	696
UNC13A	14	19	5	133	96	50	61	69	58	57	69	2	35	32	40	11	15	42	2	6
MAP1S	377	943	801	644	390	999	420	377	951	330	686	221	381	404	273	347	307	387	429	213
LOC124904649	0	2	0	0	0	7	0	0	1	0	0	0	1	4	1	1	0	1	0	0
FCHO1	7	8	14	30	12	25	6	7	16	8	8	8	30	65	10	26	5	14	6	10
B3GNT3	0	0	0	2	0	8	0	1	0	1	0	0	6	3	2	2	2	0	0	0
INSL3	0	2	2	6	4	0	0	3	0	0	2	0	12	17	5	4	0	4	0	1
JAK3	95	160	72	523	259	204	347	298	441	167	195	36	169	182	313	102	104	262	37	33
RPL18A	3286	6158	7941	7030	3740	5286	4397	4687	9721	2591	4388	1960	2930	3897	1948	4309	2518	4027	4938	1665
SNORA68	3	7	3	1	3	5	6	2	8	4	7	1	2	4	0	5	1	1	3	0
SLC5A5	0	0	0	0	0	1	0	1	0	0	2	0	9	20	7	16	1	2	0	4
CCDC124	475	1063	1068	1062	529	1178	567	448	1485	315	869	258	367	165	250	291	279	478	661	253
KCNN1	10	8	7	8	8	21	7	3	22	14	8	5	2	9	2	8	3	13	4	0
ARRDC2	11	11	14	53	29	25	12	19	61	69	15	3	257	240	78	221	16	23	6	5
IL12RB1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0
MAST3	154	310	303	323	178	291	211	239	328	171	220	90	260	306	134	264	124	221	148	75
LOC124904650	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PIK3R2	1091	2852	2888	2854	1499	2430	1537	1380	3520	987	2604	964	675	305	714	755	1132	1445	1679	740
IFI30	74	94	71	317	137	212	56	172	274	58	188	22	2112	451	1091	2631	224	194	62	42
MPV17L2	288	514	540	509	271	534	219	297	670	78	275	148	453	633	169	366	176	219	255	105
RAB3A	26	89	113	71	52	72	49	46	111	58	100	31	14	16	16	23	34	54	60	28
LOC102725254	3	2	3	5	0	1	2	2	1	2	2	1	1	6	0	0	3	3	3	0
PDE4C	16	19	9	11	7	24	7	52	38	44	22	4	688	430	361	948	52	64	17	9
LOC729966	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IQCN	31	40	36	44	22	41	35	33	59	22	50	9	88	78	85	110	33	56	22	19
JUND	1222	2539	2401	3555	1692	3251	1989	1168	4005	1193	2576	483	499	153	820	796	1153	1113	2009	748
MIR3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904652	8	25	16	15	10	12	14	11	9	10	10	4	115	36	57	96	8	23	9	4
LOC124904653	5	6	10	7	2	9	6	5	5	3	3	1	30	12	8	38	6	14	6	0
LSM4	854	2035	2255	1951	1061	2416	864	831	2516	471	1182	544	766	713	507	684	552	714	1147	372
LOC105372300	14	13	11	22	9	16	17	14	14	7	10	5	198	68	128	165	19	25	13	5
LOC124904654	0	0	2	0	0	0	1	1	7	1	1	0	23	9	12	16	1	6	1	0
PGPEP1	908	2442	1969	2012	1115	1986	1067	1068	3153	828	1876	799	1428	210	2399	2619	1001	1228	1364	731
GDF15	15	31	39	91	38	29	4	51	81	11	22	31	446	149	1081	1222	8	37	18	16
MIR3189	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2	1	0	0	0
LRRC25	0	0	0	21	14	1	0	1	8	1	1	0	31	8	12	16	1	0	0	0
SSBP4	426	839	824	776	435	1075	528	478	1277	428	620	210	385	222	498	646	343	535	492	182
ISYNA1	1538	2471	4915	3014	1667	2860	1259	1503	4190	1378	2191	1196	2395	1717	4355	7548	1138	1538	2400	607
ELL	217	357	472	404	212	353	230	245	532	165	299	129	662	812	523	671	186	306	269	121
FKBP8	2724	5804	5230	5265	2806	7991	3098	2897	7742	2395	4001	1265	998	1641	921	1241	2290	3569	3156	1397
KXD1	720	1360	1599	1658	862	1518	874	885	1851	619	999	516	719	489	535	764	597	877	981	329
UBA52	3223	6882	7515	7575	3890	6721	4374	4019	11208	2325	4545	2071	6025	6475	3680	5261	2762	3986	4894	1756
REX1BD	150	390	371	200	114	628	176	120	425	109	207	59	66	73	68	73	83	149	178	67
CRLF1	0	1	0	51	31	2	4	6	3	10	7	1	80	77	4	9	2	3	1	0
TMEM59L	48	29	41	117	61	87	31	39	46	35	48	9	48	99	15	23	22	42	23	12
KLHL26	156	330	267	298	137	282	182	147	357	147	227	69	37	142	56	39	123	183	159	86
CRTC1	537	1218	1059	864	464	844	708	606	1254	469	852	277	283	154	313	310	467	783	594	316
COMP	0	0	0	20	17	1	2	1	11	6	1	0	82	48	9	11	0	2	0	0
UPF1	1507	3165	3356	2814	1405	3510	1759	1590	3731	949	2246	904	2169	1393	1641	2708	1219	1715	1652	756
CERS1	17	65	49	82	35	85	9	15	76	14	28	16	13	31	9	22	23	26	33	9
GDF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPE	1485	2826	3505	2883	1558	3991	1453	1578	4021	776	1909	839	1406	1094	1250	1636	963	1528	1528	634
DDX49	497	1079	1224	1149	585	1240	535	544	1483	341	752	298	1534	1580	726	1005	375	610	641	309
HOMER3	186	277	444	830	376	498	163	167	477	139	263	96	187	128	114	136	150	199	240	79
HOMER3-AS1	3	5	9	11	7	8	7	3	1	4	5	2	5	3	5	3	2	4	3	2
SUGP2	3717	7611	7955	6227	3509	9408	3773	3573	9965	1979	5554	2619	2936	2338	2877	2861	3143	3319	4327	1946
ARMC6	416	913	914	748	415	1102	404	442	1124	243	606	238	250	141	344	363	273	432	450	205
LOC124904655	3	1	2	3	0	9	4	0	2	3	0	1	2	2	4	9	0	1	0	0
SLC25A42	259	596	416	403	233	582	358	346	906	270	367	135	194	283	123	188	288	381	195	151
TMEM161A	443	938	807	600	355	1029	371	441	1161	326	530	177	239	172	253	282	405	485	312	226
BORCS8-MEF2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2B	0	2	2	0	0	2	0	3	3	1	0	0	0	1	1	1	5	1	1	0
BORCS8	142	299	337	248	157	288	116	167	393	80	179	108	179	79	171	158	105	152	138	61
RFXANK	331	549	720	607	309	981	263	282	850	238	392	198	127	133	126	130	217	341	379	123
NR2C2AP	52	101	103	162	85	212	51	65	117	38	84	47	90	120	47	91	38	77	73	16
NCAN	1	0	0	10	8	3	2	1	1	1	1	1	26	54	15	25	3	4	3	0
HAPLN4	35	54	61	97	48	92	47	65	101	49	58	20	16	26	13	8	32	51	38	8
TM6SF2	45	73	94	73	56	89	58	49	106	46	53	27	7	7	17	3	36	46	59	12
SUGP1	442	999	991	941	500	1258	541	477	1402	340	716	300	665	750	363	559	415	553	684	294
