	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	EPI_1	EPI_2	EPI_3	EPI_4	GEF_1	GEF_2	GEF_3	GEF_4
KISS1R	3	3	2	0	0	1	0	0	6	1	0	0	12	11	99	21	0	2	0	0
ARID3A	1988	1084	636	1411	625	603	560	1151	556	1046	444	1558	62	97	300	231	274	859	591	593
WDR18	1326	796	429	945	419	538	431	927	371	608	152	807	39	102	314	301	231	385	487	329
GRIN3B	14	8	7	53	11	12	4	13	9	9	5	22	4	13	32	28	1	9	10	10
TMEM259	4717	2573	1500	4636	1814	2011	2025	3870	1337	2262	779	4004	898	1244	6018	5169	865	1824	2282	1651
RNU6-2	2	6	4	3	5	3	1	5	2	2	3	8	12	25	107	89	0	1	2	0
CNN2	4383	6282	2850	2508	1330	1727	1814	2564	986	2718	1235	3675	309	388	1626	1173	802	2173	1353	1024
ABCA7	1382	819	378	1287	416	565	535	834	437	573	244	1015	207	356	780	937	163	483	613	363
ARHGAP45	1039	407	221	534	233	244	122	342	825	235	92	361	66	72	194	196	65	188	121	121
POLR2E	4427	3039	1648	2845	1734	1660	1585	3459	911	2223	1087	4005	712	949	1947	2639	686	1915	1667	1269
GPX4	5896	4191	2121	4696	1911	1897	1635	3768	1182	2725	1105	4386	1260	1596	2581	4408	888	2570	1903	1456
SBNO2	1055	993	468	875	346	479	444	699	350	491	157	653	73	139	551	283	161	294	457	279
LOC102723798	12	0	4	36	5	11	7	5	11	6	2	5	6	3	43	37	4	10	7	4
LOC102725180	10	6	4	11	7	5	6	7	5	6	2	5	6	10	30	16	4	3	16	5
STK11	2672	1540	913	2806	894	1100	957	2191	841	1583	485	2157	105	169	518	366	629	1277	1076	717
CBARP	277	173	95	255	81	103	83	155	67	108	49	206	45	53	431	160	18	91	81	48
CBARP-DT	10	0	1	0	3	0	0	3	1	3	0	0	2	4	12	16	0	1	5	2
ATP5F1D	3089	1478	862	2605	965	913	674	2188	607	1429	451	2470	97	173	154	589	466	1195	816	609
LOC102723811	31	15	8	18	4	9	12	13	6	13	7	16	10	20	143	75	2	12	21	10
MIDN	4322	3776	1920	3880	1660	1854	1812	3523	1466	3366	1037	3783	305	509	2280	1735	996	2400	1808	1542
LOC107985303	24	29	12	31	13	13	15	16	14	11	6	28	11	2	36	33	6	11	17	10
LOC105372236	60	41	21	45	28	25	37	39	19	24	10	40	14	13	111	71	5	20	43	34
CIRBP-AS1	126	93	40	133	58	65	58	78	37	54	26	89	14	15	111	81	24	38	78	51
CIRBP	18599	10989	6436	21953	7082	8963	8183	13155	4865	9017	4015	14991	3927	5527	24088	19911	3856	8597	9198	7235
FAM174C	351	294	191	376	106	138	177	263	66	144	55	270	60	89	469	214	63	114	154	85
EFNA2	107	112	64	84	43	45	53	71	59	71	34	90	22	35	119	102	14	53	41	35
PWWP3A	2424	1702	948	2591	870	1126	1107	1840	758	1236	548	1866	232	396	1235	1185	482	946	1166	690
TRF-GAA1-6	0	1	0	0	0	0	1	0	2	0	0	0	0	2	3	0	0	0	0	0
TRN-GTT2-6	0	1	0	3	0	1	0	0	0	0	0	1	1	0	8	0	0	1	1	0
NDUFS7	2843	1164	643	2248	955	997	902	2341	623	1388	516	2517	96	208	661	789	518	1231	1023	764
GAMT	1610	970	534	1208	613	595	513	1390	404	901	379	1651	91	141	303	443	344	979	613	508
DAZAP1	3605	2422	1290	2648	1151	1503	1148	2686	797	1967	781	2980	359	621	1722	2001	668	1659	1222	965
RPS15	8478	5197	2791	6802	2967	4024	2710	6083	1707	3527	1290	6207	1143	2092	2030	5924	1278	4174	3560	1838
APC2	242	261	137	159	90	91	114	179	61	128	57	190	33	68	280	157	45	103	127	76
C19orf25	777	456	228	596	257	233	239	454	154	320	135	584	25	63	153	154	104	240	277	160
PCSK4	77	72	37	107	35	35	50	48	52	41	13	48	16	51	176	173	14	28	41	36
REEP6	177	103	63	186	85	54	61	89	52	94	27	97	19	25	57	42	10	75	58	29
ADAMTSL5	2087	1585	779	1624	987	1057	955	1521	444	1184	351	1446	367	451	2073	1416	467	1028	1035	895
LOC124904609	77	70	27	157	40	57	55	80	31	46	21	91	5	5	39	62	28	51	46	66
LOC107985337	1	2	0	0	2	0	1	0	0	1	1	5	1	3	11	8	0	0	0	1
PLK5	13	10	2	8	5	1	6	6	5	8	2	8	23	21	134	50	2	6	5	7
MEX3D	595	426	267	285	190	244	149	512	149	384	96	529	18	33	132	81	109	298	146	180
MBD3	5210	2846	1590	3361	1481	1514	1599	3640	872	2433	853	3645	524	982	2382	1825	823	1675	1664	1017
UQCR11	5854	2787	1482	4516	1612	1664	1418	3337	756	1844	1054	3787	1648	2136	5397	6325	724	1829	1610	1446
TCF3	2325	1970	1104	1924	893	1092	1061	1825	679	1307	520	2038	200	287	807	655	457	1076	1159	742
ONECUT3	6	1	0	0	0	0	1	0	0	0	1	0	3	8	45	17	0	1	2	0
LOC101928543	0	0	0	0	0	0	1	0	0	0	0	0	0	6	12	4	0	0	0	0
ATP8B3	86	67	26	90	32	31	20	68	26	80	19	63	16	25	90	113	10	23	19	14
REXO1	1146	947	427	917	421	446	402	924	296	662	276	1046	65	147	409	334	224	558	456	326
MIR1909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100288123	56	35	20	81	23	25	29	56	17	24	12	39	2	15	96	33	6	27	28	26
KLF16	520	508	249	665	211	192	159	422	141	315	138	372	50	70	204	104	87	225	187	150
ABHD17A	1380	613	382	1021	466	466	503	1008	309	550	181	1047	72	108	418	364	197	432	593	383
SCAMP4	1180	1082	554	690	456	504	556	891	386	691	259	906	146	222	1012	574	214	485	648	339
ADAT3	106	54	34	88	30	43	27	71	24	55	17	101	3	4	42	15	14	42	38	24
LOC105372238	4	5	0	5	4	2	3	6	0	1	1	2	0	4	12	6	1	0	1	3
CSNK1G2	1880	1293	788	1532	648	804	770	1428	417	1028	345	1551	171	213	448	384	289	713	788	480
CSNK1G2-AS1	1	6	1	15	2	3	2	1	4	3	3	16	5	5	18	16	1	9	8	2
BTBD2	2559	1748	940	1925	918	1105	1070	2237	806	1714	508	2367	251	364	601	761	500	1260	1163	651
LOC124904610	183	149	66	203	80	79	85	140	42	93	35	171	24	15	106	54	29	86	110	70
LOC107985278	0	0	0	0	0	0	0	0	0	0	0	1	1	8	18	8	0	0	0	0
MKNK2	2756	1933	1050	2694	1302	1459	1447	3117	788	1846	879	2990	247	311	1279	646	826	1569	1775	1302
MOB3A	1422	969	516	1011	448	553	618	1044	321	784	282	1006	24	42	114	67	256	511	505	356
IZUMO4	84	41	25	50	37	38	54	60	18	26	14	46	31	55	276	130	19	26	54	36
AP3D1	5924	5281	2783	5220	2090	2567	2577	4630	1566	3683	1621	4851	951	1085	2024	1826	1188	2949	2462	1730
DOT1L	2646	1997	1023	2571	1046	1220	1100	2612	826	1692	615	2489	200	245	854	571	685	1225	1098	815
LOC124904611	7	5	3	11	12	8	14	8	1	8	1	12	6	7	81	41	0	1	17	5
PLEKHJ1	3159	1562	867	3304	926	1022	853	1816	503	1170	555	2201	306	311	894	1100	417	1189	993	714
MIR1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6789	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SF3A2	1332	1216	694	927	520	690	654	1253	567	1060	348	1200	76	126	359	326	357	925	662	472
AMH	29	16	13	69	15	16	15	39	14	11	20	200	14	13	131	108	15	88	21	11
MIR4321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JSRP1	7	7	1	2	4	1	0	2	1	7	0	5	8	15	73	31	0	3	5	0
LOC105372240	5	3	1	0	1	2	1	0	0	2	0	1	5	9	24	16	0	1	2	0
OAZ1	21371	13030	6308	15233	6854	7278	6570	13691	3508	8794	3500	12622	4976	7822	26835	26056	3413	6135	6863	5340
PEAK3	3	2	3	3	2	1	3	6	2	0	0	2	9	10	57	19	2	3	3	1
LINGO3	0	0	0	1	0	0	3	0	4	1	0	0	15	14	70	61	0	0	0	1
LOC101928572	0	0	0	1	1	0	0	0	0	0	0	0	6	10	27	26	0	0	0	0
LSM7	719	549	259	621	285	309	237	514	171	320	145	610	39	50	118	114	120	349	276	172
SPPL2B	2035	1051	646	2386	840	780	896	1612	539	1031	354	1841	251	368	1559	1374	337	827	913	644
TMPRSS9	39	35	18	55	33	35	32	36	21	40	8	46	18	47	155	88	9	27	41	31
LOC124904612	35	14	11	6	8	7	14	35	13	20	12	27	7	9	18	25	9	19	19	16
TIMM13	1705	1088	533	1593	587	605	559	1256	306	776	362	1529	97	144	275	338	296	814	657	446
LMNB2	2614	2239	1257	3039	1138	1142	1009	2624	627	1848	654	2680	189	233	600	563	457	1308	822	590
MIR7108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01775	1	1	0	5	4	2	1	3	0	1	0	6	0	2	7	4	0	2	1	1
GADD45B	638	954	378	1175	318	272	432	690	185	463	143	594	1651	2051	17902	9821	207	328	415	279
LOC124904614	0	0	1	0	1	1	2	0	0	0	0	0	26	31	184	122	0	0	1	0
GNG7	766	346	186	561	317	337	297	774	262	601	128	469	128	207	898	967	240	358	391	372
LOC124904789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7850	0	0	0	0	0	1	0	1	0	0	0	0	0	3	3	1	0	0	0	0
DIRAS1	785	356	185	571	229	246	181	475	145	462	73	238	20	27	95	48	120	131	259	208
SLC39A3	453	395	185	511	195	210	176	397	120	287	92	433	7	16	41	55	90	227	175	136
SGTA	3926	2598	1371	3396	1483	1365	1452	2955	825	2194	791	3088	215	328	634	678	657	1635	1286	1085
THOP1	2030	1590	862	2423	854	919	829	1831	389	1115	374	1496	100	155	435	516	417	769	747	615
ZNF554	666	418	190	565	188	206	226	502	184	335	194	566	45	64	163	177	200	409	261	237
ZNF555	648	385	206	378	168	225	174	391	182	293	218	410	36	52	105	72	132	292	242	239
ZNF556	2	3	1	3	1	3	1	1	0	1	0	4	14	8	36	42	1	2	0	0
ZNF57	101	111	58	60	36	52	44	73	36	63	33	76	22	26	77	61	28	56	44	28
ZNF77	318	221	121	249	88	112	127	189	67	111	102	231	135	147	393	224	73	130	130	86
TLE6	75	37	19	53	24	15	25	58	34	46	12	68	18	15	118	119	9	13	17	18
TLE2	1512	1027	517	1504	623	645	683	1354	445	1016	287	1145	254	355	1908	1389	296	640	697	535
TLE5	18193	10600	5893	13214	6069	7145	7056	14034	4034	10072	3170	11904	8389	11241	30789	32395	3783	7160	6099	4932
LOC105372242	0	0	0	0	1	0	0	0	0	0	0	0	0	4	9	19	0	0	0	0
GNA11	3624	2543	1384	2812	1425	1611	1395	3309	820	2415	875	3084	162	235	704	462	832	1797	1372	978
LOC124904615	1	3	0	0	1	0	1	0	0	0	0	0	2	2	16	5	0	0	1	2
GNA15	0	5	2	1	0	1	1	0	2	0	0	0	3	1	11	9	0	0	0	0
GNA15-DT	0	0	0	0	0	0	0	0	0	0	0	0	3	8	27	26	0	0	0	0
S1PR4	0	0	0	0	0	1	1	0	1	1	0	0	4	0	15	6	0	0	0	0
NCLN	1405	1159	668	1257	482	557	590	1168	377	827	315	1131	259	364	1119	646	278	550	499	339
CELF5	39	55	32	48	22	16	23	33	38	22	10	49	7	25	64	47	7	44	20	16
LOC105372244	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	3	0	0	0	0
NFIC	4376	4104	2369	3035	1764	2698	2422	6513	1830	5181	1178	3773	293	571	1641	1425	2257	2899	2603	1699
SMIM24	6	8	4	3	3	3	3	1	5	1	0	1	6	8	62	43	2	1	1	3
SMIM44	0	1	1	0	0	0	1	0	0	0	0	0	4	2	28	24	0	0	0	0
LOC105372246	0	0	0	0	2	2	0	0	0	0	0	0	4	11	46	26	0	0	3	0
DOHH	268	132	82	179	78	91	81	199	51	132	29	167	21	17	73	40	40	93	78	49
LOC105372245	10	3	2	8	2	2	3	4	2	4	1	6	6	7	52	45	2	5	4	0
FZR1	1809	1146	680	1624	750	807	754	1575	478	1122	409	1495	53	90	244	125	337	754	885	613
LOC124904617	44	46	22	81	35	32	33	52	18	29	17	46	8	12	86	77	9	33	45	21
MFSD12	672	596	325	595	236	329	268	413	203	345	154	550	114	194	401	371	88	277	281	192
TEKTIP1	150	133	52	175	76	80	69	124	34	92	25	120	32	39	107	62	22	74	90	65
LOC124904618	11	9	3	8	6	7	3	8	1	4	4	7	1	11	22	25	0	3	6	4
HMG20B	1603	1139	639	1331	573	656	493	1057	383	870	275	1209	112	186	353	331	297	700	579	398
GIPC3	33	10	10	41	21	7	12	16	6	16	7	11	20	14	99	102	0	10	16	10
TBXA2R	22	16	4	17	9	15	14	16	5	6	2	4	4	8	17	20	3	0	8	8
CACTIN-AS1	10	3	3	6	4	7	10	2	3	10	8	11	1	2	25	9	7	2	5	6
CACTIN	689	380	267	731	281	349	334	573	212	382	113	585	69	123	377	221	124	317	356	221
PIP5K1C	2310	2069	1041	2120	931	1192	1120	2177	704	1660	535	1629	158	171	464	291	547	875	1182	806
TJP3	22	18	7	8	4	8	3	7	7	6	4	13	8	14	87	38	0	4	8	8
APBA3	419	195	135	380	147	150	150	292	129	197	58	240	26	47	73	92	53	104	179	115
LOC105372248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0
MRPL54	883	674	351	1047	280	261	269	635	138	359	156	564	13	28	50	44	162	281	265	213
RAX2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	23	0	0	1	1
MATK	2	14	3	0	0	0	2	0	1	0	0	4	6	6	30	29	0	1	0	0
ZFR2	62	55	31	74	31	19	22	17	37	34	13	36	22	33	54	52	7	17	23	29
ATCAY	52	237	114	86	48	55	69	67	74	66	25	73	28	38	120	88	18	53	87	61
NMRK2	2182	502	252	593	265	172	217	670	218	490	67	218	23	45	126	177	148	162	209	322
DAPK3	9551	5436	2230	7017	2898	2630	2308	6263	1588	4239	1377	6206	113	224	1171	986	1537	3544	2668	2479
MIR637	142	66	40	65	59	65	61	92	31	52	18	70	10	10	92	67	16	30	75	49
EEF2	80424	59415	29681	54827	26107	34191	29256	59619	25062	48158	20961	67365	9732	14467	22549	39223	15928	46039	32329	22601
SNORD37	7	0	1	3	4	2	2	0	1	3	0	1	0	0	8	9	0	1	2	2
PIAS4	1064	541	378	993	398	416	404	788	240	636	187	820	39	66	293	233	203	486	406	281
ZBTB7A	950	855	389	821	363	491	390	1037	191	726	201	676	75	107	385	250	295	429	462	342
MAP2K2	3280	2392	1272	2972	1022	1234	1050	2436	768	1982	680	2735	182	293	596	498	629	1664	1215	798
CREB3L3	0	0	0	0	0	0	0	0	0	0	2	0	4	10	48	25	0	0	0	0
SIRT6	550	364	179	461	198	238	182	380	133	236	105	403	18	39	109	88	94	187	208	138
ANKRD24	33	26	17	43	16	23	14	30	41	30	5	33	23	34	97	88	12	23	31	18
EBI3	7	8	6	0	0	6	2	2	3	1	1	0	5	9	17	18	0	0	2	0
YJU2	480	332	163	385	201	192	179	403	130	264	93	442	42	57	239	120	85	247	175	132
SHD	499	139	82	738	327	76	84	220	136	341	53	175	36	75	226	601	52	113	96	225
TMIGD2	2	1	2	3	4	0	1	0	0	3	0	0	5	1	44	17	0	0	0	0
FSD1	105	188	81	73	40	24	37	29	39	69	28	84	32	50	96	113	6	37	20	19
STAP2	238	180	81	213	62	76	57	123	75	92	32	72	30	45	105	97	20	66	56	53
MPND	863	594	331	695	296	336	342	688	211	573	230	752	83	122	162	253	188	375	388	279
SH3GL1	2147	1940	1045	1732	845	1077	1041	1675	622	1397	470	1704	130	194	423	336	355	862	952	623
CHAF1A	1118	1111	611	1377	407	471	451	1272	250	720	295	1070	168	182	536	459	280	660	313	278
UBXN6	786	504	280	457	240	302	220	584	164	425	136	502	82	97	248	235	126	317	277	222
MIR4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDGFL2	2400	1846	987	2855	821	1068	773	1933	642	1464	517	2160	115	180	331	353	499	1373	1004	584
PLIN4	129	126	76	141	83	85	118	167	64	101	35	108	64	104	348	186	59	54	133	65
PLIN5	328	111	64	368	143	113	119	322	30	169	56	269	45	71	695	288	100	195	149	144
LRG1	0	3	2	0	0	1	1	4	0	0	0	3	4	14	87	71	0	3	0	1
SEMA6B	128	140	81	106	40	91	65	31	78	73	44	93	91	103	241	269	7	57	57	24
LOC105372249	0	0	1	2	1	0	1	0	1	0	1	1	4	4	16	16	0	1	0	0
TNFAIP8L1	341	363	203	386	153	139	130	314	97	283	114	290	19	22	79	46	60	170	107	83
MYDGF	1094	1140	527	867	306	440	395	731	217	485	220	751	233	242	489	131	171	418	353	226
DPP9	1309	1185	611	1219	505	640	648	1139	355	924	368	1174	244	284	654	689	272	635	594	375
DPP9-AS1	47	60	12	36	23	19	28	29	10	36	4	49	4	12	57	35	11	22	31	7
LOC105372250	0	1	1	0	0	3	1	1	1	0	0	1	3	1	10	21	3	0	3	1
TRG-TCC1-1	0	1	0	1	0	0	0	1	0	0	0	0	2	0	1	5	0	0	0	1
TRV-CAC3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-3HG	0	0	1	0	0	0	0	0	0	0	0	0	4	5	18	20	0	0	0	0
MIR7-3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	6	0	0	0	0
LOC124904620	0	1	0	0	0	0	0	2	1	0	0	0	3	5	22	38	0	0	1	0
FEM1A	3314	2160	1092	2473	1150	1131	1082	2939	705	2193	749	2455	190	297	348	366	826	1486	1093	892
TICAM1	158	161	79	90	74	72	79	131	52	89	16	56	4	9	31	17	34	27	82	52
PLIN3	3930	2658	1461	3147	1270	1247	1372	2330	758	1901	779	2502	212	229	509	447	613	1279	1355	1011
ARRDC5	3	2	1	0	0	0	0	2	0	4	1	1	10	31	40	36	1	0	1	0
UHRF1	322	355	185	428	139	126	101	417	77	236	116	408	40	67	122	113	63	164	68	60
MIR4747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
KDM4B	4519	2745	1381	4115	1758	1921	1857	3238	2049	2570	1249	4052	252	400	871	944	957	2409	2137	1496
PTPRS	3366	3018	1589	2760	1270	1642	1631	2673	1246	2694	917	3227	403	590	1339	1121	662	1671	1589	975
LOC105372253	6	12	3	29	9	4	3	9	2	10	4	9	1	0	1	0	0	3	1	1
LOC105372252	0	0	0	6	0	0	0	0	0	1	0	1	0	0	5	2	0	0	0	0
ZNRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
LOC124904622	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	12	0	0	0	0
TINCR	67	22	16	47	27	21	30	25	16	36	5	40	10	15	52	62	6	13	31	32
SAFB2	2499	1162	671	2493	781	880	649	1549	575	1153	384	1520	171	234	837	596	468	974	868	663
SAFB	4542	2687	1409	4251	1156	1740	1117	2939	1122	2216	891	3090	206	319	725	673	940	2031	1385	1070
LOC107985320	35	24	11	23	18	10	17	11	5	11	13	36	11	9	69	33	7	8	13	11
MICOS13	1307	778	380	1031	472	457	477	844	208	526	201	1060	59	72	139	182	188	434	451	330
HSD11B1L	383	172	139	262	118	153	131	219	96	144	71	269	44	87	188	253	55	160	128	99
RPL36	9183	6078	3151	6896	2611	3454	2969	5429	1982	3196	1446	5720	1006	1796	1282	4105	1068	2731	3071	2061
LONP1	3728	2592	1398	3696	1187	1237	1055	2548	1004	1961	761	2881	661	1002	1227	2501	647	1698	1169	846
CATSPERD	1	5	1	0	0	1	0	0	1	0	0	0	16	23	57	55	0	0	0	2
PRR22	31	43	25	60	19	13	19	52	11	22	7	37	10	17	88	44	9	19	27	18
DUS3L	480	373	164	490	156	185	189	423	118	252	80	402	31	52	181	190	101	227	177	131
NRTN	598	345	166	424	167	216	181	447	228	289	55	312	21	36	113	132	95	173	289	255
FUT6	3	1	0	2	0	1	1	0	1	5	0	2	22	32	164	148	0	3	0	4
FUT3	13	6	5	10	6	3	9	4	7	15	2	9	62	60	184	120	3	8	29	12
LOC101928844	2	2	0	12	2	1	13	2	3	3	0	3	21	25	88	55	1	6	8	6
FUT5	15	6	5	22	8	4	6	15	8	18	3	12	15	7	57	49	1	8	18	17
NDUFA11	6383	3367	1683	5089	2341	2307	2218	4454	1052	2727	982	4954	970	1522	4861	5213	1083	2431	2715	1958
VMAC	263	204	88	311	136	177	147	276	123	173	68	275	33	80	216	212	83	212	245	201
CAPS	321	177	88	284	101	132	117	232	93	160	51	291	42	90	260	208	57	149	221	133
RANBP3	3392	2195	1106	2859	1140	1436	1322	2780	816	1758	631	2591	149	253	534	516	721	1536	1469	1032
RANBP3-DT	7	2	0	10	5	1	3	6	3	1	1	1	5	5	11	10	2	1	4	1
RFX2	54	129	67	66	15	56	46	67	32	33	5	36	18	31	112	44	16	23	42	24
LOC105372255	3	12	5	8	1	5	8	4	10	3	0	6	4	14	33	40	0	4	7	2
ACSBG2	30	21	11	16	9	12	7	16	7	10	10	28	7	9	36	27	9	20	12	17
MLLT1	3967	2857	1558	4330	1878	1885	2085	4110	1353	2955	932	3716	132	247	753	634	1263	2218	2500	2280
ACER1	0	1	1	1	2	0	1	0	0	0	0	0	3	7	7	10	0	0	4	0
CLPP	1225	801	494	605	412	451	358	861	249	613	215	897	52	113	137	307	201	443	412	311
ALKBH7	1312	714	427	1240	482	483	447	1093	339	595	261	1249	29	55	156	141	258	675	498	381
PSPN	21	10	7	2	2	4	3	9	2	8	1	10	7	23	69	30	1	4	4	1
GTF2F1	2962	2135	1154	1821	945	1113	1018	1940	700	1623	716	2052	186	195	631	421	567	1453	1091	763
MIR6885	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
MIR6790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC390877	0	0	0	3	0	1	0	0	0	0	0	1	2	3	16	1	0	0	1	0
KHSRP	5385	4592	2484	5141	2104	2600	2198	4706	1649	3737	1571	5151	443	554	1198	1208	1321	3247	2263	1953
MIR3940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A41	170	109	71	112	69	57	69	121	45	67	45	146	21	35	112	92	37	61	70	47
SLC25A23	9358	8671	4391	5430	3941	4547	4087	6854	2694	5699	2300	6563	8849	9040	22717	21044	2045	4564	4021	3394
CRB3	79	69	33	30	22	23	16	24	11	25	8	72	8	4	33	16	9	33	27	25
DENND1C	42	64	36	36	12	18	14	20	19	21	10	29	9	16	70	62	7	32	11	25
TUBB4A	110	563	224	72	56	50	51	77	38	108	106	247	31	32	64	48	32	156	41	43
TNFSF9	13	15	5	0	2	2	13	3	2	5	3	2	51	82	255	119	0	2	8	0
CD70	0	1	0	0	0	0	0	1	0	0	1	0	5	14	33	32	0	0	0	0
TNFSF14	1	1	2	0	1	1	1	2	0	0	8	11	17	14	122	75	1	7	1	0
C3	31	238	118	20	6	120	96	399	24	31	651	1469	97	151	616	138	115	760	124	7
GPR108	985	724	431	560	335	391	364	570	251	426	195	668	133	158	316	380	153	353	478	314
MIR6791	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
TRIP10	2123	1390	829	2347	779	1021	1047	1484	591	1072	321	1289	268	347	1571	1492	424	746	1080	813
LOC124904623	8	9	3	12	8	6	5	14	3	7	2	8	0	2	10	2	4	8	5	9
SH2D3A	14	22	10	11	5	10	9	11	8	9	2	20	11	7	36	41	2	4	23	3
VAV1	5	13	4	0	0	0	0	0	1	0	0	0	3	5	35	26	0	0	0	0
ADGRE1	0	1	0	0	0	0	1	0	3	0	1	0	3	0	10	22	0	0	0	0
LOC105372256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	1	0	0	0	0	0	0	0	0	0	1	3	18	7	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC112268245	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	0
MBD3L2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
MBD3L3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ZNF557	454	424	209	242	118	157	127	354	152	258	145	342	81	109	198	227	125	295	145	116
LOC124904625	21	25	14	15	5	23	21	24	5	19	8	32	7	13	20	7	10	20	11	14
INSR	6764	5497	2480	4753	2019	2692	2078	5988	1799	4531	2678	6888	238	294	931	733	2187	4951	2642	2207
LOC124904626	2	2	1	0	1	3	0	1	0	5	0	0	0	0	5	4	1	0	1	0
ARHGEF18	971	751	463	729	357	507	424	783	284	608	224	785	178	189	292	211	218	450	496	355
LOC107985284	5	3	4	14	5	8	3	11	1	7	5	7	2	4	6	17	1	3	4	3
PEX11G	33	18	11	46	11	18	17	23	8	19	3	39	2	2	8	9	9	14	19	21
TEX45	1	5	1	0	0	0	0	3	4	0	0	1	1	9	14	8	0	0	2	0
ZNF358	2641	1324	769	2175	779	904	788	1827	709	1446	490	1988	365	643	1024	1418	452	1178	761	600
LOC105372261	0	2	0	0	0	1	1	1	0	3	1	1	1	3	8	13	0	2	3	1
MCOLN1	600	426	217	400	193	240	325	469	104	271	78	404	174	241	565	440	91	192	358	182
PNPLA6	1432	1115	557	1061	447	669	707	1103	389	638	151	489	198	348	739	696	214	267	551	354
CAMSAP3	230	154	86	249	101	97	97	116	117	125	18	81	26	34	161	136	28	37	90	65
MIR6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XAB2	1509	1112	577	1601	583	652	709	1296	509	910	291	1231	175	293	434	375	340	630	810	514
STXBP2	690	583	309	683	280	313	340	480	280	380	99	243	185	284	461	490	127	166	338	241
PET100	264	126	80	202	63	82	73	119	36	79	43	121	23	32	66	108	38	100	78	68
PCP2	28	17	11	11	12	9	18	15	12	9	1	10	13	26	96	109	2	4	19	13
RPS27AP19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0
RETN	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	5	0	0	0	0
MCEMP1	4	0	1	0	1	0	2	3	1	2	0	1	1	0	13	37	1	4	0	0
TRAPPC5	856	450	237	370	256	287	290	567	172	359	120	525	31	38	79	61	104	255	280	161
FCER2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	30	0	1	0	0
LOC105372262	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	8	0	0	0	0
CLEC4G	0	0	0	0	0	0	0	0	0	1	0	0	1	2	8	17	0	0	0	0
CD209	0	1	1	0	0	0	1	0	1	0	0	0	3	2	20	28	0	0	0	1
CLEC4M	0	0	0	0	0	0	0	0	0	0	0	0	3	2	12	14	0	0	0	0
LOC105372263	0	0	0	0	0	0	0	0	0	0	0	0	6	6	31	49	0	0	0	0
CLEC4GP1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	8	0	0	0	0
LOC124904628	0	0	3	0	0	0	0	0	0	0	0	0	6	8	16	31	0	0	0	0
EVI5L	1611	1027	611	2180	700	778	694	1621	369	1156	292	1299	139	248	471	598	390	707	731	532
PRR36	299	461	263	214	161	188	204	254	234	397	184	589	39	61	181	197	79	415	187	132
LYPLA2P2	3	1	0	1	0	0	0	1	0	0	0	0	3	7	30	13	0	1	0	1
